SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
THEMISMED,EQ,253.55,265.0,240.65,248.35,246.05,253.3,5214,20-MAR-2020
THEMISMED,EQ,264.95,264.95,251.05,253.3,253.0,260.2,7555,19-MAR-2020
THEMISMED,EQ,260.5,273.7,260.0,260.2,262.75,270.0,3854,18-MAR-2020
THEMISMED,EQ,278.65,283.95,263.6,270.0,270.0,274.8,1803,17-MAR-2020
THEMISMED,EQ,272.15,298.0,272.15,274.8,278.65,286.45,4723,16-MAR-2020
THEMISMED,EQ,286.2,300.05,286.2,286.45,286.2,301.25,9530,13-MAR-2020
THEMISMED,EQ,302.0,324.0,301.25,301.25,301.25,317.1,2741,12-MAR-2020
THEMISMED,EQ,314.05,330.9,311.0,317.1,312.25,325.95,42043,11-MAR-2020
THEMISMED,EQ,330.05,332.8,325.95,325.95,325.95,343.1,4536,09-MAR-2020
THEMISMED,EQ,343.05,359.95,343.05,343.1,343.05,361.1,2425,06-MAR-2020
THEMISMED,EQ,372.0,372.0,356.55,361.1,365.7,372.1,2048,05-MAR-2020
THEMISMED,EQ,365.05,379.4,359.95,372.1,372.25,364.0,481,04-MAR-2020
THEMISMED,BE,379.0,379.0,346.5,364.0,364.0,364.45,3667,03-MAR-2020
THEMISMED,BE,380.0,389.0,360.1,364.45,360.1,379.05,3780,02-MAR-2020
THEMISMED,BE,398.0,398.0,379.05,379.05,379.05,398.95,1487,28-FEB-2020
THEMISMED,BE,405.0,405.0,388.0,398.95,403.95,405.0,1310,27-FEB-2020
THEMISMED,BE,390.0,409.5,378.0,405.0,405.0,397.0,1100,26-FEB-2020
THEMISMED,BE,394.0,410.0,394.0,397.0,397.0,401.0,293,25-FEB-2020
THEMISMED,BE,410.0,414.0,396.0,401.0,401.0,413.9,332,24-FEB-2020
THEMISMED,BE,417.4,430.0,407.5,413.9,414.0,417.4,1365,20-FEB-2020
THEMISMED,BE,418.0,420.0,393.0,417.4,417.4,401.75,1719,19-FEB-2020
THEMISMED,BE,420.0,420.0,399.0,401.75,402.0,420.0,1548,18-FEB-2020
THEMISMED,BE,416.0,432.0,411.0,420.0,420.0,432.6,912,17-FEB-2020
THEMISMED,BE,445.0,454.95,430.65,432.6,439.0,453.3,1448,14-FEB-2020
THEMISMED,BE,459.0,459.0,421.55,453.3,440.0,439.85,3078,13-FEB-2020
THEMISMED,BE,439.85,439.85,411.65,439.85,439.85,418.95,11169,12-FEB-2020
THEMISMED,BE,418.95,418.95,418.95,418.95,418.95,399.0,876,11-FEB-2020
THEMISMED,BE,398.4,399.0,398.4,399.0,399.0,380.0,682,10-FEB-2020
