SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
TIINDIA,EQ,377.3,401.8,377.3,385.55,380.2,388.75,654309,20-MAR-2020
TIINDIA,EQ,401.75,415.5,376.0,388.75,384.15,429.5,244572,19-MAR-2020
TIINDIA,EQ,464.45,464.45,412.55,429.5,441.75,450.0,87432,18-MAR-2020
TIINDIA,EQ,460.0,468.75,439.0,450.0,450.0,471.1,209476,17-MAR-2020
TIINDIA,EQ,452.55,483.3,423.55,471.1,467.55,470.5,174182,16-MAR-2020
TIINDIA,EQ,420.55,482.0,400.0,470.5,474.95,481.5,168541,13-MAR-2020
TIINDIA,EQ,494.9,494.9,465.0,481.5,480.0,501.95,500724,12-MAR-2020
TIINDIA,EQ,504.0,509.0,497.8,501.95,501.95,505.9,139397,11-MAR-2020
TIINDIA,EQ,500.0,514.0,497.7,505.9,505.3,504.8,57378,09-MAR-2020
TIINDIA,EQ,511.0,517.9,496.0,504.8,505.0,532.15,161585,06-MAR-2020
TIINDIA,EQ,529.8,536.95,522.05,532.15,532.35,523.95,586881,05-MAR-2020
TIINDIA,EQ,535.55,537.85,511.25,523.95,519.9,527.8,1337821,04-MAR-2020
TIINDIA,EQ,560.0,561.45,500.0,527.8,520.5,546.85,99395,03-MAR-2020
TIINDIA,EQ,530.0,554.75,530.0,546.85,543.5,528.0,138872,02-MAR-2020
TIINDIA,EQ,567.9,567.9,522.35,528.0,527.0,568.8,166382,28-FEB-2020
TIINDIA,EQ,558.0,577.0,542.8,568.8,567.9,554.25,523312,27-FEB-2020
TIINDIA,EQ,549.9,559.8,542.7,554.25,550.0,552.15,117546,26-FEB-2020
TIINDIA,EQ,553.0,562.0,535.0,552.15,549.0,544.5,168936,25-FEB-2020
TIINDIA,EQ,504.0,562.0,502.7,544.5,549.0,505.8,522546,24-FEB-2020
TIINDIA,EQ,499.9,514.5,490.0,505.8,510.5,494.85,54483,20-FEB-2020
TIINDIA,EQ,489.5,497.25,487.45,494.85,492.15,486.05,36814,19-FEB-2020
TIINDIA,EQ,501.95,501.95,480.1,486.05,493.8,499.15,46719,18-FEB-2020
TIINDIA,EQ,507.0,507.0,492.35,499.15,500.9,503.1,267641,17-FEB-2020
TIINDIA,EQ,508.9,508.9,500.95,503.1,502.5,501.2,19233,14-FEB-2020
TIINDIA,EQ,525.0,525.0,498.0,501.2,498.0,516.05,42361,13-FEB-2020
TIINDIA,EQ,511.0,519.3,511.0,516.05,514.8,519.4,20259,12-FEB-2020
TIINDIA,EQ,530.0,530.0,503.55,519.4,515.0,523.7,27154,11-FEB-2020
TIINDIA,EQ,532.3,532.3,516.2,523.7,521.25,526.7,48175,10-FEB-2020
