SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
TINPLATE,EQ,73.5,78.75,73.2,75.9,75.5,72.25,321936,20-MAR-2020
TINPLATE,EQ,74.0,77.0,70.0,72.25,72.3,76.15,328956,19-MAR-2020
TINPLATE,EQ,88.0,89.5,75.55,76.15,76.05,85.9,284306,18-MAR-2020
TINPLATE,EQ,88.1,91.8,85.1,85.9,85.15,88.8,219241,17-MAR-2020
TINPLATE,EQ,92.0,94.9,88.0,88.8,88.05,94.65,222364,16-MAR-2020
TINPLATE,EQ,81.7,96.75,74.0,94.65,95.75,90.2,449842,13-MAR-2020
TINPLATE,EQ,93.5,97.0,86.2,90.2,90.25,102.15,364055,12-MAR-2020
TINPLATE,EQ,106.1,110.85,101.2,102.15,101.25,106.1,256657,11-MAR-2020
TINPLATE,EQ,114.8,114.8,104.9,106.1,107.0,116.75,243610,09-MAR-2020
TINPLATE,EQ,114.0,118.3,114.0,116.75,117.2,122.05,190007,06-MAR-2020
TINPLATE,EQ,125.85,125.85,121.5,122.05,121.5,121.2,299988,05-MAR-2020
TINPLATE,EQ,126.0,126.2,119.05,121.2,121.2,125.5,241446,04-MAR-2020
TINPLATE,EQ,130.8,137.0,123.3,125.5,125.3,121.5,1324247,03-MAR-2020
TINPLATE,EQ,121.0,134.6,119.1,121.5,122.0,117.0,394659,02-MAR-2020
TINPLATE,EQ,120.0,121.7,116.5,117.0,117.0,125.85,252040,28-FEB-2020
TINPLATE,EQ,126.0,128.05,122.0,125.85,125.3,128.4,246548,27-FEB-2020
TINPLATE,EQ,130.9,132.0,128.0,128.4,128.8,133.15,225876,26-FEB-2020
TINPLATE,EQ,135.3,136.9,132.75,133.15,133.0,135.35,198968,25-FEB-2020
TINPLATE,EQ,136.85,137.9,134.25,135.35,134.85,138.75,157885,24-FEB-2020
TINPLATE,EQ,138.9,142.75,137.25,138.75,139.1,139.25,391747,20-FEB-2020
TINPLATE,EQ,134.8,143.4,134.1,139.25,139.5,133.65,608839,19-FEB-2020
TINPLATE,EQ,136.1,136.9,132.5,133.65,133.3,137.4,243175,18-FEB-2020
TINPLATE,EQ,138.5,140.65,135.65,137.4,137.05,139.35,226182,17-FEB-2020
TINPLATE,EQ,139.0,143.75,138.1,139.35,138.3,139.65,187938,14-FEB-2020
TINPLATE,EQ,140.9,142.85,138.8,139.65,139.0,141.05,119883,13-FEB-2020
TINPLATE,EQ,144.9,144.9,140.4,141.05,140.6,144.2,185155,12-FEB-2020
TINPLATE,EQ,138.65,149.5,137.55,144.2,144.55,137.75,939240,11-FEB-2020
TINPLATE,EQ,140.8,140.85,137.0,137.75,137.75,141.3,190439,10-FEB-2020
