SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
TIRUMALCHM,EQ,40.9,45.45,39.5,44.85,45.1,39.95,531154,20-MAR-2020
TIRUMALCHM,EQ,38.8,41.0,36.2,39.95,39.85,39.95,619258,19-MAR-2020
TIRUMALCHM,EQ,44.0,45.25,37.8,39.95,40.15,43.25,488487,18-MAR-2020
TIRUMALCHM,EQ,45.1,47.0,42.55,43.25,43.0,45.55,380146,17-MAR-2020
TIRUMALCHM,EQ,48.0,48.6,45.1,45.55,45.1,49.7,295627,16-MAR-2020
TIRUMALCHM,EQ,47.0,51.85,40.75,49.7,49.7,50.75,767117,13-MAR-2020
TIRUMALCHM,EQ,53.3,55.1,50.3,50.75,50.6,58.4,585479,12-MAR-2020
TIRUMALCHM,EQ,58.75,61.55,58.0,58.4,58.1,58.2,302437,11-MAR-2020
TIRUMALCHM,EQ,60.05,62.6,57.5,58.2,57.85,61.35,774138,09-MAR-2020
TIRUMALCHM,EQ,62.0,62.6,60.1,61.35,61.5,64.65,494712,06-MAR-2020
TIRUMALCHM,EQ,64.95,66.0,63.1,64.65,64.45,64.65,573307,05-MAR-2020
TIRUMALCHM,EQ,66.2,70.0,63.55,64.65,64.4,64.05,3149045,04-MAR-2020
TIRUMALCHM,EQ,59.0,64.95,59.0,64.05,64.95,60.15,641297,03-MAR-2020
TIRUMALCHM,EQ,62.0,63.55,59.6,60.15,60.35,60.25,300757,02-MAR-2020
TIRUMALCHM,EQ,59.15,62.45,59.15,60.25,60.35,63.95,521822,28-FEB-2020
TIRUMALCHM,EQ,65.25,66.5,62.45,63.95,63.65,64.7,653863,27-FEB-2020
TIRUMALCHM,EQ,61.5,69.7,60.9,64.7,65.25,62.5,3251252,26-FEB-2020
TIRUMALCHM,EQ,61.6,65.3,59.65,62.5,62.5,60.9,1113625,25-FEB-2020
TIRUMALCHM,EQ,62.3,63.05,60.75,60.9,60.85,63.35,243003,24-FEB-2020
TIRUMALCHM,EQ,64.65,65.5,63.0,63.35,63.3,64.1,270646,20-FEB-2020
TIRUMALCHM,EQ,65.35,66.5,63.35,64.1,63.7,65.05,324671,19-FEB-2020
TIRUMALCHM,EQ,61.95,65.9,59.35,65.05,64.95,61.95,581556,18-FEB-2020
TIRUMALCHM,EQ,64.0,64.0,61.7,61.95,61.8,64.05,213339,17-FEB-2020
TIRUMALCHM,EQ,63.0,65.4,62.6,64.05,64.0,62.9,298184,14-FEB-2020
TIRUMALCHM,EQ,62.85,64.25,61.85,62.9,63.0,62.4,243132,13-FEB-2020
TIRUMALCHM,EQ,62.85,63.2,62.1,62.4,62.35,63.55,142869,12-FEB-2020
TIRUMALCHM,EQ,64.85,65.2,63.1,63.55,63.65,64.6,292289,11-FEB-2020
TIRUMALCHM,EQ,61.95,66.6,61.5,64.6,64.75,61.4,1184253,10-FEB-2020
