SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
TREJHARA,EQ,5.0,5.1,4.7,5.1,5.1,4.9,4118,20-MAR-2020
TREJHARA,EQ,4.8,5.3,4.8,4.9,5.0,5.05,556,19-MAR-2020
TREJHARA,EQ,5.05,5.3,4.85,5.05,4.9,5.05,2973,18-MAR-2020
TREJHARA,EQ,4.8,5.3,4.8,5.05,5.05,5.05,15102,17-MAR-2020
TREJHARA,EQ,5.3,5.35,5.05,5.05,5.35,5.3,8119,16-MAR-2020
TREJHARA,EQ,5.5,5.7,5.3,5.3,5.3,5.55,9281,13-MAR-2020
TREJHARA,EQ,5.45,6.3,5.45,5.55,5.45,6.05,12769,12-MAR-2020
TREJHARA,EQ,6.6,6.9,5.9,6.05,6.0,6.3,24473,11-MAR-2020
TREJHARA,EQ,6.85,6.85,6.3,6.3,6.3,6.95,9107,09-MAR-2020
TREJHARA,EQ,6.65,7.3,6.6,6.95,6.75,7.3,4739,06-MAR-2020
TREJHARA,EQ,6.55,7.8,6.55,7.3,7.45,7.1,3138,05-MAR-2020
TREJHARA,EQ,7.85,8.45,6.95,7.1,7.25,7.7,40219,04-MAR-2020
TREJHARA,EQ,7.5,7.7,7.0,7.7,7.7,7.0,7508,03-MAR-2020
TREJHARA,EQ,7.55,7.6,7.0,7.0,7.5,7.3,3002,02-MAR-2020
TREJHARA,EQ,8.35,8.35,7.0,7.3,7.6,7.65,9407,28-FEB-2020
TREJHARA,EQ,7.25,7.65,7.25,7.65,7.65,7.9,15984,27-FEB-2020
TREJHARA,EQ,7.75,7.95,7.35,7.9,7.9,8.05,3550,26-FEB-2020
TREJHARA,EQ,8.0,8.5,7.7,8.05,8.1,7.85,3712,25-FEB-2020
TREJHARA,EQ,8.0,8.5,7.55,7.85,8.2,7.85,12166,24-FEB-2020
TREJHARA,EQ,8.35,8.35,7.55,7.85,8.0,8.35,34586,20-FEB-2020
TREJHARA,EQ,8.9,8.9,8.1,8.35,8.4,8.95,36949,19-FEB-2020
TREJHARA,EQ,9.3,9.3,8.35,8.95,9.0,8.5,3448,18-FEB-2020
TREJHARA,EQ,9.5,9.5,8.25,8.5,8.45,9.5,39952,17-FEB-2020
TREJHARA,EQ,9.55,10.45,9.5,9.5,9.5,9.95,7792,14-FEB-2020
TREJHARA,EQ,9.75,10.55,9.75,9.95,10.25,11.1,30775,13-FEB-2020
TREJHARA,EQ,12.6,12.6,11.1,11.1,11.1,11.3,2262,12-FEB-2020
TREJHARA,EQ,11.9,11.9,11.1,11.3,11.1,11.9,9688,11-FEB-2020
TREJHARA,EQ,12.3,12.4,11.1,11.9,11.95,12.35,5541,10-FEB-2020
