SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
TRF,EQ,56.35,58.5,53.1,55.75,56.0,55.1,31814,20-MAR-2020
TRF,EQ,54.0,57.8,50.3,55.1,56.75,55.05,33035,19-MAR-2020
TRF,EQ,56.4,60.6,54.65,55.05,55.0,56.4,35031,18-MAR-2020
TRF,EQ,57.25,59.9,56.0,56.4,56.0,56.75,31445,17-MAR-2020
TRF,EQ,59.5,62.0,55.0,56.75,56.65,60.2,96321,16-MAR-2020
TRF,EQ,57.55,64.45,53.05,60.2,59.8,66.3,390761,13-MAR-2020
TRF,EQ,75.0,76.5,65.0,66.3,65.9,80.1,50468,12-MAR-2020
TRF,EQ,83.8,84.8,77.75,80.1,79.9,83.8,17416,11-MAR-2020
TRF,EQ,88.0,88.0,82.5,83.8,83.5,88.8,26797,09-MAR-2020
TRF,EQ,86.1,92.0,86.1,88.8,90.7,91.25,22309,06-MAR-2020
TRF,EQ,91.0,93.4,90.65,91.25,91.6,90.6,21733,05-MAR-2020
TRF,EQ,94.0,94.95,89.1,90.6,90.55,93.55,19245,04-MAR-2020
TRF,EQ,94.0,96.0,92.1,93.55,94.5,93.35,26009,03-MAR-2020
TRF,EQ,95.0,98.95,92.55,93.35,93.0,92.25,38026,02-MAR-2020
TRF,EQ,98.3,99.6,91.4,92.25,92.4,100.4,29317,28-FEB-2020
TRF,EQ,102.8,103.1,100.0,100.4,100.05,103.2,22933,27-FEB-2020
TRF,EQ,105.45,106.5,101.25,103.2,103.15,106.35,26819,26-FEB-2020
TRF,EQ,108.3,108.8,105.75,106.35,106.8,107.05,16659,25-FEB-2020
TRF,EQ,111.7,111.7,106.5,107.05,107.95,112.5,29004,24-FEB-2020
TRF,EQ,111.0,116.05,110.0,112.5,112.5,111.45,45244,20-FEB-2020
TRF,EQ,108.45,112.5,108.45,111.45,111.6,108.45,33051,19-FEB-2020
TRF,EQ,110.8,111.95,107.35,108.45,108.2,111.5,29874,18-FEB-2020
TRF,EQ,110.9,114.9,110.9,111.5,112.1,115.55,38935,17-FEB-2020
TRF,EQ,118.6,119.2,114.6,115.55,115.2,116.25,37921,14-FEB-2020
TRF,EQ,121.0,121.0,115.45,116.25,116.5,121.45,47283,13-FEB-2020
TRF,EQ,124.05,124.9,120.0,121.45,120.9,116.8,202040,12-FEB-2020
TRF,EQ,114.7,119.5,114.7,116.8,117.0,114.7,56748,11-FEB-2020
TRF,EQ,115.3,118.4,114.1,114.7,115.0,116.35,24489,10-FEB-2020
