SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
TRIGYN,EQ,26.6,26.6,23.55,25.55,25.0,24.0,47142,20-MAR-2020
TRIGYN,EQ,23.25,25.2,22.1,24.0,24.45,24.7,46425,19-MAR-2020
TRIGYN,EQ,27.7,28.0,24.0,24.7,24.0,25.45,44503,18-MAR-2020
TRIGYN,EQ,27.05,28.1,24.25,25.45,26.0,26.2,51252,17-MAR-2020
TRIGYN,EQ,29.4,29.8,25.5,26.2,26.45,29.4,39616,16-MAR-2020
TRIGYN,EQ,26.5,30.05,22.7,29.4,30.0,28.2,78253,13-MAR-2020
TRIGYN,EQ,33.4,33.4,27.2,28.2,29.0,33.95,109416,12-MAR-2020
TRIGYN,EQ,34.8,34.95,32.15,33.95,34.75,33.25,81017,11-MAR-2020
TRIGYN,EQ,36.0,36.0,32.0,33.25,32.7,35.15,40421,09-MAR-2020
TRIGYN,EQ,34.0,36.0,32.85,35.15,35.0,36.5,43016,06-MAR-2020
TRIGYN,EQ,35.25,37.8,35.25,36.5,36.9,35.8,46233,05-MAR-2020
TRIGYN,EQ,37.5,37.95,35.2,35.8,36.0,37.85,46694,04-MAR-2020
TRIGYN,EQ,37.65,39.1,37.0,37.85,38.15,38.4,43285,03-MAR-2020
TRIGYN,EQ,38.2,39.85,37.65,38.4,38.65,37.4,36774,02-MAR-2020
TRIGYN,EQ,39.7,39.7,36.65,37.4,37.5,39.9,83858,28-FEB-2020
TRIGYN,EQ,42.05,42.15,39.6,39.9,40.15,42.0,101013,27-FEB-2020
TRIGYN,EQ,43.1,43.8,41.2,42.0,41.35,43.45,61565,26-FEB-2020
TRIGYN,EQ,44.05,45.1,42.85,43.45,43.05,43.65,35515,25-FEB-2020
TRIGYN,EQ,45.0,45.45,42.75,43.65,42.75,45.5,31324,24-FEB-2020
TRIGYN,EQ,45.75,46.35,45.15,45.5,45.5,45.4,29276,20-FEB-2020
TRIGYN,EQ,45.0,46.9,44.9,45.4,45.5,44.65,76309,19-FEB-2020
TRIGYN,EQ,46.3,46.8,42.3,44.65,44.9,46.9,105912,18-FEB-2020
TRIGYN,EQ,49.25,49.9,46.35,46.9,46.8,49.25,40847,17-FEB-2020
TRIGYN,EQ,54.0,54.0,48.4,49.25,49.35,49.45,150839,14-FEB-2020
TRIGYN,EQ,49.35,50.45,48.5,49.45,49.35,48.8,71246,13-FEB-2020
TRIGYN,EQ,44.75,50.65,44.7,48.8,49.3,44.9,272122,12-FEB-2020
TRIGYN,EQ,46.7,46.7,44.55,44.9,44.55,45.15,31174,11-FEB-2020
TRIGYN,EQ,46.8,47.1,44.7,45.15,44.9,47.05,30172,10-FEB-2020
