SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
TV18BRDCST,EQ,13.85,15.15,13.8,14.7,14.8,13.8,2572747,20-MAR-2020
TV18BRDCST,EQ,13.75,14.75,12.5,13.8,13.85,14.1,2899546,19-MAR-2020
TV18BRDCST,EQ,15.65,16.4,13.75,14.1,14.4,15.6,3897223,18-MAR-2020
TV18BRDCST,EQ,16.25,16.8,15.3,15.6,15.45,16.05,2861713,17-MAR-2020
TV18BRDCST,EQ,16.45,17.2,15.8,16.05,15.9,17.2,2936278,16-MAR-2020
TV18BRDCST,EQ,15.6,17.85,13.8,17.2,17.5,17.15,5003784,13-MAR-2020
TV18BRDCST,EQ,17.75,18.5,17.0,17.15,17.1,19.45,2340234,12-MAR-2020
TV18BRDCST,EQ,18.85,20.0,18.8,19.45,19.45,18.8,2374343,11-MAR-2020
TV18BRDCST,EQ,20.05,20.9,18.55,18.8,18.85,20.85,6909108,09-MAR-2020
TV18BRDCST,EQ,21.1,21.75,20.65,20.85,20.85,22.4,2339015,06-MAR-2020
TV18BRDCST,EQ,22.05,22.95,21.95,22.4,22.3,22.0,1727628,05-MAR-2020
TV18BRDCST,EQ,22.6,22.85,21.7,22.0,22.1,22.5,1866108,04-MAR-2020
TV18BRDCST,EQ,22.7,23.15,22.25,22.5,22.6,22.5,1515906,03-MAR-2020
TV18BRDCST,EQ,23.0,23.5,22.3,22.5,22.3,22.55,1554634,02-MAR-2020
TV18BRDCST,EQ,23.15,24.0,22.25,22.55,22.65,24.7,3173375,28-FEB-2020
TV18BRDCST,EQ,25.25,25.4,24.55,24.7,24.6,25.2,1210875,27-FEB-2020
TV18BRDCST,EQ,24.65,25.85,24.55,25.2,25.25,25.0,2526379,26-FEB-2020
TV18BRDCST,EQ,25.35,25.9,24.8,25.0,25.15,25.7,2531105,25-FEB-2020
TV18BRDCST,EQ,26.4,26.6,25.6,25.7,25.75,26.85,2512755,24-FEB-2020
TV18BRDCST,EQ,28.0,28.5,26.5,26.85,26.95,28.25,9337940,20-FEB-2020
TV18BRDCST,EQ,29.1,29.2,28.0,28.25,28.25,28.9,10393322,19-FEB-2020
TV18BRDCST,EQ,27.45,30.05,27.05,28.9,28.75,25.05,37255168,18-FEB-2020
TV18BRDCST,EQ,25.9,26.1,25.0,25.05,25.0,25.85,1487851,17-FEB-2020
TV18BRDCST,EQ,27.1,27.2,25.55,25.85,25.85,26.95,2799957,14-FEB-2020
TV18BRDCST,EQ,26.55,27.35,26.25,26.95,26.85,26.45,3345713,13-FEB-2020
TV18BRDCST,EQ,27.5,27.9,26.3,26.45,26.75,27.35,2819953,12-FEB-2020
TV18BRDCST,EQ,26.55,27.8,26.15,27.35,27.35,26.35,5297916,11-FEB-2020
TV18BRDCST,EQ,26.7,26.8,25.75,26.35,26.3,26.3,4189346,10-FEB-2020
