SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
TVSMOTOR,EQ,365.1,383.5,354.0,379.8,375.3,363.2,1987347,20-MAR-2020
TVSMOTOR,EQ,341.0,386.55,341.0,363.2,363.8,363.35,1936414,19-MAR-2020
TVSMOTOR,EQ,387.55,391.4,352.65,363.35,365.0,385.15,1727263,18-MAR-2020
TVSMOTOR,EQ,380.0,400.8,372.45,385.15,382.65,380.65,1202231,17-MAR-2020
TVSMOTOR,EQ,383.5,396.3,376.55,380.65,379.15,403.1,601756,16-MAR-2020
TVSMOTOR,EQ,351.0,408.65,349.4,403.1,404.15,388.2,1617982,13-MAR-2020
TVSMOTOR,EQ,387.95,395.95,366.0,388.2,390.0,403.8,1669093,12-MAR-2020
TVSMOTOR,EQ,397.25,409.4,391.75,403.8,404.0,399.7,1745488,11-MAR-2020
TVSMOTOR,EQ,402.15,407.75,388.35,399.7,397.8,414.1,1370754,09-MAR-2020
TVSMOTOR,EQ,404.7,416.5,396.25,414.1,411.3,413.95,1049346,06-MAR-2020
TVSMOTOR,EQ,413.7,417.65,406.2,413.95,413.5,409.85,1096006,05-MAR-2020
TVSMOTOR,EQ,424.0,428.0,400.6,409.85,409.0,422.15,2691474,04-MAR-2020
TVSMOTOR,EQ,422.0,430.0,408.5,422.15,425.2,419.35,1973306,03-MAR-2020
TVSMOTOR,EQ,435.55,446.7,412.55,419.35,417.0,435.7,2266674,02-MAR-2020
TVSMOTOR,EQ,421.0,441.0,418.85,435.7,433.1,439.6,2258696,28-FEB-2020
TVSMOTOR,EQ,428.0,444.0,422.95,439.6,435.8,435.3,2638164,27-FEB-2020
TVSMOTOR,EQ,424.8,437.8,423.55,435.3,435.0,436.4,1585956,26-FEB-2020
TVSMOTOR,EQ,422.0,441.9,409.45,436.4,436.4,438.6,8613028,25-FEB-2020
TVSMOTOR,EQ,446.4,448.45,436.25,438.6,437.5,446.45,1050427,24-FEB-2020
TVSMOTOR,EQ,440.5,447.9,437.3,446.45,445.65,440.7,1211994,20-FEB-2020
TVSMOTOR,EQ,442.95,446.7,434.55,440.7,440.75,438.4,1353692,19-FEB-2020
TVSMOTOR,EQ,429.0,443.0,424.0,438.4,440.0,430.45,1737719,18-FEB-2020
TVSMOTOR,EQ,436.0,440.5,428.15,430.45,431.7,439.2,1104464,17-FEB-2020
TVSMOTOR,EQ,444.8,447.55,437.1,439.2,438.0,444.8,814225,14-FEB-2020
TVSMOTOR,EQ,450.85,451.5,441.6,444.8,444.45,448.05,895235,13-FEB-2020
TVSMOTOR,EQ,454.8,455.2,444.4,448.05,449.35,451.0,899763,12-FEB-2020
TVSMOTOR,EQ,458.9,461.65,449.4,451.0,450.8,456.2,1022942,11-FEB-2020
TVSMOTOR,EQ,466.2,467.8,454.5,456.2,455.0,466.2,862786,10-FEB-2020
