SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
UCALFUEL,EQ,70.15,73.8,69.05,72.2,73.5,70.7,12999,20-MAR-2020
UCALFUEL,EQ,64.25,72.1,64.25,70.7,70.1,73.05,16187,19-MAR-2020
UCALFUEL,EQ,78.0,79.5,70.1,73.05,74.0,79.5,15731,18-MAR-2020
UCALFUEL,EQ,78.85,82.35,77.5,79.5,80.05,79.6,5848,17-MAR-2020
UCALFUEL,EQ,83.9,83.9,77.1,79.6,80.5,82.55,15900,16-MAR-2020
UCALFUEL,EQ,81.7,84.0,75.2,82.55,82.0,81.7,17837,13-MAR-2020
UCALFUEL,EQ,90.3,90.3,80.0,81.7,81.0,90.25,24498,12-MAR-2020
UCALFUEL,EQ,92.95,95.0,90.0,90.25,90.0,92.35,12676,11-MAR-2020
UCALFUEL,EQ,98.0,98.75,91.1,92.35,92.0,99.25,20394,09-MAR-2020
UCALFUEL,EQ,97.5,99.9,93.0,99.25,98.5,98.8,8354,06-MAR-2020
UCALFUEL,EQ,101.95,103.0,97.65,98.8,98.3,100.45,17985,05-MAR-2020
UCALFUEL,EQ,105.6,106.25,99.5,100.45,99.95,106.0,23354,04-MAR-2020
UCALFUEL,EQ,106.6,107.85,103.95,106.0,106.0,105.9,6938,03-MAR-2020
UCALFUEL,EQ,108.0,110.55,105.1,105.9,105.35,106.0,7702,02-MAR-2020
UCALFUEL,EQ,109.0,109.0,104.0,106.0,106.15,110.25,12418,28-FEB-2020
UCALFUEL,EQ,111.0,112.35,107.0,110.25,110.95,111.05,10381,27-FEB-2020
UCALFUEL,EQ,114.0,114.9,110.5,111.05,111.0,116.0,20673,26-FEB-2020
UCALFUEL,EQ,118.0,119.95,115.5,116.0,117.0,119.0,8299,25-FEB-2020
UCALFUEL,EQ,122.0,122.0,118.1,119.0,119.4,120.8,4266,24-FEB-2020
UCALFUEL,EQ,121.65,123.3,119.45,120.8,121.15,119.9,13814,20-FEB-2020
UCALFUEL,EQ,119.85,121.15,119.75,119.9,119.8,117.45,10224,19-FEB-2020
UCALFUEL,EQ,119.75,122.2,116.85,117.45,118.0,118.95,14790,18-FEB-2020
UCALFUEL,EQ,121.0,121.85,117.5,118.95,121.0,121.85,9193,17-FEB-2020
UCALFUEL,EQ,122.0,127.5,121.1,121.85,121.5,121.05,12756,14-FEB-2020
UCALFUEL,EQ,123.8,123.8,119.25,121.05,121.7,121.35,11374,13-FEB-2020
UCALFUEL,EQ,122.7,123.0,120.8,121.35,121.2,121.6,10648,12-FEB-2020
UCALFUEL,EQ,125.85,126.0,120.65,121.6,122.0,131.1,51256,11-FEB-2020
UCALFUEL,EQ,130.3,133.5,130.3,131.1,130.8,132.4,8394,10-FEB-2020
