SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
UFLEX,EQ,146.0,158.9,145.25,154.85,156.05,145.95,44198,20-MAR-2020
UFLEX,EQ,150.0,155.35,143.0,145.95,146.0,157.05,48790,19-MAR-2020
UFLEX,EQ,163.0,166.7,154.3,157.05,155.7,163.0,36815,18-MAR-2020
UFLEX,EQ,165.0,170.0,160.05,163.0,167.75,164.0,49474,17-MAR-2020
UFLEX,EQ,176.0,179.35,162.0,164.0,165.0,177.75,154188,16-MAR-2020
UFLEX,EQ,161.0,183.2,150.0,177.75,176.0,173.05,141183,13-MAR-2020
UFLEX,EQ,180.0,182.1,170.25,173.05,174.4,186.2,55856,12-MAR-2020
UFLEX,EQ,190.0,191.6,185.4,186.2,187.25,186.95,30748,11-MAR-2020
UFLEX,EQ,197.0,197.0,186.45,186.95,186.7,198.4,72898,09-MAR-2020
UFLEX,EQ,198.9,200.95,195.8,198.4,199.0,204.8,37680,06-MAR-2020
UFLEX,EQ,204.25,208.45,202.35,204.8,204.0,203.25,29231,05-MAR-2020
UFLEX,EQ,210.85,210.85,200.15,203.25,203.0,209.65,49536,04-MAR-2020
UFLEX,EQ,212.85,215.75,207.5,209.65,209.45,211.35,31202,03-MAR-2020
UFLEX,EQ,212.9,217.95,207.1,211.35,209.2,210.75,29503,02-MAR-2020
UFLEX,EQ,219.0,219.0,210.0,210.75,210.0,222.6,65668,28-FEB-2020
UFLEX,EQ,228.0,228.0,220.6,222.6,222.4,227.9,46654,27-FEB-2020
UFLEX,EQ,221.9,232.0,215.15,227.9,228.0,221.9,161907,26-FEB-2020
UFLEX,EQ,225.0,225.9,220.1,221.9,223.65,223.05,33548,25-FEB-2020
UFLEX,EQ,222.5,227.4,222.5,223.05,223.0,227.5,53178,24-FEB-2020
UFLEX,EQ,230.65,231.9,222.3,227.5,228.25,229.6,62513,20-FEB-2020
UFLEX,EQ,224.4,234.4,217.7,229.6,232.0,220.85,179574,19-FEB-2020
UFLEX,EQ,226.0,226.35,217.25,220.85,221.0,226.35,36143,18-FEB-2020
UFLEX,EQ,231.5,232.45,225.5,226.35,225.55,229.95,45163,17-FEB-2020
UFLEX,EQ,233.5,236.8,223.55,229.95,228.4,226.15,376299,14-FEB-2020
UFLEX,EQ,225.7,227.9,222.5,226.15,227.9,224.6,44082,13-FEB-2020
UFLEX,EQ,228.75,230.85,222.65,224.6,224.75,228.05,58213,12-FEB-2020
UFLEX,EQ,232.7,237.7,225.85,228.05,228.0,231.25,175150,11-FEB-2020
UFLEX,EQ,227.25,234.0,223.3,231.25,233.0,225.65,186050,10-FEB-2020
