SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
UNIINFO,SM,15.7,16.1,15.2,15.25,15.25,15.75,32000,20-MAR-2020
UNIINFO,SM,16.75,16.9,15.75,15.75,15.75,17.0,14000,19-MAR-2020
UNIINFO,SM,18.5,18.9,16.95,17.0,17.0,18.85,20000,18-MAR-2020
UNIINFO,SM,18.5,19.25,18.4,18.85,18.85,18.8,14000,17-MAR-2020
UNIINFO,SM,18.0,18.8,18.0,18.8,18.8,18.5,22000,16-MAR-2020
UNIINFO,SM,18.4,18.5,17.35,18.5,18.5,18.5,18000,13-MAR-2020
UNIINFO,SM,19.8,19.8,18.3,18.5,18.5,19.85,14000,12-MAR-2020
UNIINFO,SM,20.35,20.4,19.0,19.85,19.85,20.4,14000,11-MAR-2020
UNIINFO,SM,21.0,21.1,19.95,20.4,20.4,21.15,18000,09-MAR-2020
UNIINFO,SM,22.3,22.3,21.0,21.15,21.15,22.6,14000,06-MAR-2020
UNIINFO,SM,23.7,23.7,22.3,22.6,22.6,22.25,14000,05-MAR-2020
UNIINFO,SM,23.25,24.25,22.25,22.25,22.25,23.0,22000,04-MAR-2020
UNIINFO,SM,23.1,24.0,22.75,23.0,23.0,23.0,14000,03-MAR-2020
UNIINFO,SM,23.6,24.05,23.0,23.0,23.0,23.15,16000,02-MAR-2020
UNIINFO,SM,22.8,23.4,22.0,23.15,23.4,23.0,18000,28-FEB-2020
UNIINFO,SM,23.65,24.0,23.0,23.0,23.0,23.7,14000,27-FEB-2020
UNIINFO,SM,23.75,23.9,23.5,23.7,23.7,23.95,14000,26-FEB-2020
UNIINFO,SM,24.0,24.0,23.8,23.95,23.95,24.05,14000,25-FEB-2020
UNIINFO,SM,26.95,26.95,24.05,24.05,24.05,25.25,22000,24-FEB-2020
UNIINFO,SM,26.25,27.6,25.25,25.25,25.25,25.55,14000,20-FEB-2020
UNIINFO,SM,28.0,28.15,25.55,25.55,25.55,26.95,26000,19-FEB-2020
UNIINFO,SM,28.0,28.0,26.0,26.95,26.95,28.8,20000,18-FEB-2020
UNIINFO,SM,28.0,28.9,28.0,28.8,28.8,28.85,14000,17-FEB-2020
UNIINFO,SM,28.75,28.9,28.55,28.85,28.85,28.6,14000,14-FEB-2020
UNIINFO,SM,28.5,28.75,28.5,28.6,28.6,29.15,14000,13-FEB-2020
UNIINFO,SM,29.0,29.15,28.75,29.15,29.15,29.65,14000,12-FEB-2020
UNIINFO,SM,29.5,29.65,28.75,29.65,29.65,29.0,14000,11-FEB-2020
UNIINFO,SM,29.0,29.95,29.0,29.0,29.0,29.65,16000,10-FEB-2020
