SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
UNIONBANK,EQ,29.1,29.9,28.6,29.15,29.1,28.85,4874763,20-MAR-2020
UNIONBANK,EQ,28.4,30.4,27.6,28.85,28.55,29.55,3077729,19-MAR-2020
UNIONBANK,EQ,30.9,30.9,28.6,29.55,29.8,29.7,3020646,18-MAR-2020
UNIONBANK,EQ,30.0,31.1,29.0,29.7,29.9,29.65,3188912,17-MAR-2020
UNIONBANK,EQ,29.7,30.05,28.55,29.65,29.9,31.0,2682287,16-MAR-2020
UNIONBANK,EQ,26.3,31.6,24.4,31.0,31.0,29.05,6206307,13-MAR-2020
UNIONBANK,EQ,30.2,31.5,28.8,29.05,29.6,32.9,4209114,12-MAR-2020
UNIONBANK,EQ,34.0,34.5,32.5,32.9,32.85,33.85,3551602,11-MAR-2020
UNIONBANK,EQ,35.95,35.95,33.55,33.85,34.0,36.7,3615525,09-MAR-2020
UNIONBANK,EQ,37.05,38.7,36.3,36.7,36.75,39.5,4572495,06-MAR-2020
UNIONBANK,EQ,36.1,40.0,36.1,39.5,39.0,36.4,9531514,05-MAR-2020
UNIONBANK,EQ,36.3,38.75,35.35,36.4,36.35,36.3,6454043,04-MAR-2020
UNIONBANK,EQ,36.7,36.75,35.05,36.3,36.45,36.35,3306566,03-MAR-2020
UNIONBANK,EQ,38.0,38.15,36.1,36.35,36.35,37.15,2675507,02-MAR-2020
UNIONBANK,EQ,38.55,39.4,36.8,37.15,37.0,40.4,3523901,28-FEB-2020
UNIONBANK,EQ,41.3,41.3,40.2,40.4,40.45,41.3,2026301,27-FEB-2020
UNIONBANK,EQ,41.9,42.3,41.0,41.3,41.15,42.15,2347752,26-FEB-2020
UNIONBANK,EQ,42.45,42.65,41.55,42.15,42.25,42.2,2322554,25-FEB-2020
UNIONBANK,EQ,43.05,43.7,41.5,42.2,42.3,44.2,2115016,24-FEB-2020
UNIONBANK,EQ,43.9,44.8,43.7,44.2,44.3,44.2,2389438,20-FEB-2020
UNIONBANK,EQ,43.5,44.4,43.2,44.2,44.25,43.25,2615042,19-FEB-2020
UNIONBANK,EQ,46.5,46.8,40.05,43.25,43.35,46.75,5665324,18-FEB-2020
UNIONBANK,EQ,47.75,47.75,46.55,46.75,46.7,47.75,2161371,17-FEB-2020
UNIONBANK,EQ,48.45,48.9,47.4,47.75,47.75,48.45,2627577,14-FEB-2020
UNIONBANK,EQ,48.6,49.4,48.0,48.45,48.45,48.8,2720671,13-FEB-2020
UNIONBANK,EQ,49.7,50.1,48.55,48.8,48.6,49.75,2404887,12-FEB-2020
UNIONBANK,EQ,51.9,51.9,49.2,49.75,49.4,50.95,5602045,11-FEB-2020
UNIONBANK,EQ,49.0,52.4,47.65,50.95,51.4,48.95,6161761,10-FEB-2020
