SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
UNITECH,BZ,1.6,1.6,1.6,1.6,1.6,1.65,74858,20-MAR-2020
UNITECH,BZ,1.65,1.65,1.65,1.65,1.65,1.7,73477,19-MAR-2020
UNITECH,BZ,1.7,1.7,1.7,1.7,1.7,1.75,119650,18-MAR-2020
UNITECH,BZ,1.75,1.75,1.75,1.75,1.75,1.8,245857,17-MAR-2020
UNITECH,BZ,1.8,1.8,1.8,1.8,1.8,1.85,235725,16-MAR-2020
UNITECH,BZ,1.85,1.85,1.85,1.85,1.85,1.9,644994,13-MAR-2020
UNITECH,BZ,1.9,1.9,1.9,1.9,1.9,1.95,465684,12-MAR-2020
UNITECH,BZ,1.95,1.95,1.95,1.95,1.95,2.05,859397,11-MAR-2020
UNITECH,BE,2.05,2.05,2.05,2.05,2.05,2.15,559195,09-MAR-2020
UNITECH,BE,2.15,2.15,2.15,2.15,2.15,2.25,475778,06-MAR-2020
UNITECH,BE,2.25,2.25,2.25,2.25,2.25,2.35,496872,05-MAR-2020
UNITECH,BE,2.35,2.35,2.35,2.35,2.35,2.45,861530,04-MAR-2020
UNITECH,BE,2.45,2.45,2.45,2.45,2.45,2.55,636554,03-MAR-2020
UNITECH,BE,2.55,2.55,2.55,2.55,2.55,2.65,1481066,02-MAR-2020
UNITECH,BE,2.65,2.65,2.65,2.65,2.65,2.75,779931,28-FEB-2020
UNITECH,BE,2.75,2.75,2.75,2.75,2.75,2.85,1738868,27-FEB-2020
UNITECH,BE,3.15,3.15,2.85,2.85,2.85,3.0,15950220,26-FEB-2020
UNITECH,BE,3.0,3.0,3.0,3.0,3.0,2.9,1332479,25-FEB-2020
UNITECH,BE,2.9,2.9,2.9,2.9,2.9,2.8,642291,24-FEB-2020
UNITECH,BE,2.8,2.8,2.8,2.8,2.8,2.7,594252,20-FEB-2020
UNITECH,BE,2.7,2.7,2.7,2.7,2.7,2.6,519130,19-FEB-2020
UNITECH,BE,2.6,2.6,2.6,2.6,2.6,2.5,691459,18-FEB-2020
UNITECH,BE,2.5,2.5,2.5,2.5,2.5,2.4,742534,17-FEB-2020
UNITECH,BE,2.4,2.4,2.4,2.4,2.4,2.3,639341,14-FEB-2020
UNITECH,BE,2.3,2.3,2.3,2.3,2.3,2.2,471294,13-FEB-2020
UNITECH,BE,2.2,2.2,2.2,2.2,2.2,2.1,569784,12-FEB-2020
UNITECH,BE,2.1,2.1,2.1,2.1,2.1,2.0,955434,11-FEB-2020
UNITECH,BE,2.0,2.0,2.0,2.0,2.0,1.95,620854,10-FEB-2020
