SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
UPL,EQ,294.0,320.65,287.0,300.15,300.0,296.75,7465488,20-MAR-2020
UPL,EQ,301.2,313.3,293.0,296.75,295.0,321.85,7227501,19-MAR-2020
UPL,EQ,360.0,363.95,314.6,321.85,324.7,350.85,5545883,18-MAR-2020
UPL,EQ,370.0,379.95,343.1,350.85,350.55,376.8,9227987,17-MAR-2020
UPL,EQ,392.3,394.95,373.5,376.8,374.8,410.85,5282609,16-MAR-2020
UPL,EQ,428.0,438.0,377.1,410.85,411.9,443.6,9712611,13-MAR-2020
UPL,EQ,504.55,520.4,434.8,443.6,450.0,516.95,8133221,12-MAR-2020
UPL,EQ,498.55,523.45,497.6,516.95,517.0,513.0,5659075,11-MAR-2020
UPL,EQ,504.65,519.9,494.65,513.0,509.45,513.6,4467786,09-MAR-2020
UPL,EQ,499.0,516.85,491.35,513.6,513.35,516.05,3567046,06-MAR-2020
UPL,EQ,518.9,529.0,513.0,516.05,516.0,511.6,2794208,05-MAR-2020
UPL,EQ,525.0,533.6,498.1,511.6,510.25,521.55,4037644,04-MAR-2020
UPL,EQ,519.9,526.65,512.55,521.55,521.25,514.35,2499968,03-MAR-2020
UPL,EQ,527.0,541.6,509.6,514.35,512.65,519.7,1907596,02-MAR-2020
UPL,EQ,543.0,546.6,514.0,519.7,524.9,550.85,2974535,28-FEB-2020
UPL,EQ,561.55,561.55,548.85,550.85,550.5,563.0,1668088,27-FEB-2020
UPL,EQ,565.8,569.8,556.0,563.0,561.55,566.35,2885119,26-FEB-2020
UPL,EQ,573.3,577.65,562.1,566.35,569.4,573.25,2912488,25-FEB-2020
UPL,EQ,586.95,590.75,570.1,573.25,575.0,584.35,1975289,24-FEB-2020
UPL,EQ,586.0,596.25,580.7,584.35,585.5,585.2,1802988,20-FEB-2020
UPL,EQ,589.9,593.85,581.3,585.2,585.0,585.2,2843587,19-FEB-2020
UPL,EQ,592.0,592.0,574.0,585.2,584.85,595.0,2972328,18-FEB-2020
UPL,EQ,593.0,599.8,591.15,595.0,595.2,591.65,2418399,17-FEB-2020
UPL,EQ,579.6,601.4,578.1,591.65,593.0,578.75,6213486,14-FEB-2020
UPL,EQ,572.0,582.9,562.9,578.75,580.2,573.9,2902199,13-FEB-2020
UPL,EQ,578.45,583.0,570.45,573.9,572.9,576.65,3277025,12-FEB-2020
UPL,EQ,574.4,584.8,569.9,576.65,578.45,574.1,5097454,11-FEB-2020
UPL,EQ,570.3,579.6,555.7,574.1,569.0,543.1,15352223,10-FEB-2020
