SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
VAKRANGEE,EQ,27.5,27.5,27.5,27.5,27.5,28.9,219463,20-MAR-2020
VAKRANGEE,EQ,28.9,28.9,28.9,28.9,28.9,30.4,104361,19-MAR-2020
VAKRANGEE,EQ,30.4,30.4,30.4,30.4,30.4,31.95,81059,18-MAR-2020
VAKRANGEE,EQ,31.95,31.95,31.95,31.95,31.95,33.6,207800,17-MAR-2020
VAKRANGEE,EQ,33.6,36.25,33.6,33.6,33.6,35.35,2984083,16-MAR-2020
VAKRANGEE,EQ,35.35,35.35,35.35,35.35,35.35,37.2,304552,13-MAR-2020
VAKRANGEE,EQ,37.3,38.3,37.2,37.2,37.2,39.15,1302525,12-MAR-2020
VAKRANGEE,EQ,39.0,39.25,38.2,39.15,39.2,37.4,2847515,11-MAR-2020
VAKRANGEE,EQ,37.45,38.05,35.15,37.4,37.4,36.9,7262450,09-MAR-2020
VAKRANGEE,EQ,36.9,36.9,36.9,36.9,36.9,38.8,232814,06-MAR-2020
VAKRANGEE,EQ,39.0,39.2,37.8,38.8,38.65,38.7,1794710,05-MAR-2020
VAKRANGEE,EQ,39.0,39.4,38.05,38.7,38.5,38.4,3521426,04-MAR-2020
VAKRANGEE,EQ,38.6,39.9,36.6,38.4,39.25,38.5,4571076,03-MAR-2020
VAKRANGEE,EQ,40.0,40.85,37.55,38.5,37.65,39.5,3903963,02-MAR-2020
VAKRANGEE,EQ,39.5,39.5,39.5,39.5,39.5,41.55,379589,28-FEB-2020
VAKRANGEE,EQ,43.95,44.0,41.55,41.55,41.55,43.7,1248393,27-FEB-2020
VAKRANGEE,EQ,44.3,44.5,43.4,43.7,43.4,44.0,2097256,26-FEB-2020
VAKRANGEE,EQ,44.05,44.55,43.65,44.0,44.0,43.6,1592445,25-FEB-2020
VAKRANGEE,EQ,46.0,46.0,43.6,43.6,43.6,45.85,1696915,24-FEB-2020
VAKRANGEE,EQ,46.2,46.2,45.45,45.85,45.85,45.95,1560671,20-FEB-2020
VAKRANGEE,EQ,45.7,46.15,45.05,45.95,46.0,45.55,1897856,19-FEB-2020
VAKRANGEE,EQ,46.4,46.65,44.7,45.55,45.5,46.25,2240081,18-FEB-2020
VAKRANGEE,EQ,46.45,46.5,45.8,46.25,46.35,46.15,2745202,17-FEB-2020
VAKRANGEE,EQ,46.0,46.95,45.75,46.15,46.15,45.25,3414280,14-FEB-2020
VAKRANGEE,EQ,43.6,45.55,43.6,45.25,45.3,43.4,6802290,13-FEB-2020
VAKRANGEE,EQ,44.0,44.1,42.8,43.4,43.2,43.65,1981291,12-FEB-2020
VAKRANGEE,EQ,44.1,44.75,43.2,43.65,43.7,44.1,2314311,11-FEB-2020
VAKRANGEE,EQ,45.25,45.4,43.8,44.1,43.95,45.05,1048340,10-FEB-2020
