SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
VARROC,EQ,182.5,188.5,166.25,182.8,184.5,182.5,101790,20-MAR-2020
VARROC,EQ,199.0,199.9,182.5,182.5,182.5,202.75,119474,19-MAR-2020
VARROC,EQ,222.35,222.35,195.0,202.75,205.0,213.3,56774,18-MAR-2020
VARROC,EQ,220.05,232.2,211.85,213.3,216.9,220.25,41038,17-MAR-2020
VARROC,EQ,232.0,232.0,210.15,220.25,221.0,232.8,89342,16-MAR-2020
VARROC,EQ,275.0,275.0,231.4,232.8,239.0,289.25,1268903,13-MAR-2020
VARROC,EQ,327.45,331.0,274.45,289.25,280.0,334.05,69313,12-MAR-2020
VARROC,EQ,344.25,350.0,330.2,334.05,333.0,344.2,12939,11-MAR-2020
VARROC,EQ,358.7,362.1,340.0,344.2,342.5,358.7,26356,09-MAR-2020
VARROC,EQ,350.0,360.0,341.3,358.7,358.0,357.1,13549,06-MAR-2020
VARROC,EQ,364.95,370.95,355.85,357.1,356.1,364.3,16581,05-MAR-2020
VARROC,EQ,381.05,388.65,359.55,364.3,362.0,381.0,25457,04-MAR-2020
VARROC,EQ,394.0,394.0,378.0,381.0,379.4,384.85,10860,03-MAR-2020
VARROC,EQ,380.0,395.0,360.15,384.85,395.0,376.65,19709,02-MAR-2020
VARROC,EQ,378.0,381.0,363.25,376.65,375.0,378.55,38854,28-FEB-2020
VARROC,EQ,397.75,398.0,376.15,378.55,377.0,389.15,190088,27-FEB-2020
VARROC,EQ,398.0,398.0,388.0,389.15,397.0,396.3,7612,26-FEB-2020
VARROC,EQ,398.0,399.7,394.6,396.3,396.0,397.0,6649,25-FEB-2020
VARROC,EQ,391.0,402.0,390.0,397.0,397.85,402.55,24068,24-FEB-2020
VARROC,EQ,407.9,413.0,400.05,402.55,404.0,404.3,16452,20-FEB-2020
VARROC,EQ,403.0,408.95,400.0,404.3,404.3,401.05,18166,19-FEB-2020
VARROC,EQ,408.0,408.0,385.55,401.05,400.95,409.15,70456,18-FEB-2020
VARROC,EQ,423.0,423.0,407.0,409.15,411.8,423.1,36967,17-FEB-2020
VARROC,EQ,435.3,439.4,420.05,423.1,426.0,432.75,38484,14-FEB-2020
VARROC,EQ,420.05,440.0,398.35,432.75,436.5,421.05,133309,13-FEB-2020
VARROC,EQ,420.6,424.9,418.1,421.05,418.1,420.5,9046,12-FEB-2020
VARROC,EQ,422.1,430.75,417.0,420.5,421.0,422.1,17654,11-FEB-2020
VARROC,EQ,439.9,439.9,408.0,422.1,417.1,434.35,102857,10-FEB-2020
