SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
VASWANI,EQ,2.7,2.85,2.65,2.7,2.7,2.9,3792,20-MAR-2020
VASWANI,EQ,2.95,3.0,2.7,2.9,3.0,3.0,3195,19-MAR-2020
VASWANI,EQ,2.75,3.0,2.7,3.0,3.0,3.0,2538,18-MAR-2020
VASWANI,EQ,2.6,3.1,2.6,3.0,3.1,2.85,3779,17-MAR-2020
VASWANI,EQ,2.8,3.2,2.8,2.85,2.85,3.1,1544,16-MAR-2020
VASWANI,EQ,3.4,3.4,2.8,3.1,3.1,3.1,2426,13-MAR-2020
VASWANI,EQ,3.15,3.4,3.1,3.1,3.1,3.4,3785,12-MAR-2020
VASWANI,EQ,3.4,3.4,3.1,3.4,3.4,3.1,5144,11-MAR-2020
VASWANI,EQ,3.2,3.35,3.0,3.1,3.1,3.15,32246,09-MAR-2020
VASWANI,EQ,3.1,3.25,3.1,3.15,3.15,3.3,6855,06-MAR-2020
VASWANI,EQ,3.3,3.5,3.3,3.3,3.5,3.5,765,05-MAR-2020
VASWANI,EQ,3.4,3.55,3.3,3.5,3.55,3.4,5569,04-MAR-2020
VASWANI,EQ,3.4,3.5,3.25,3.4,3.35,3.4,9034,03-MAR-2020
VASWANI,EQ,3.2,3.55,3.15,3.4,3.5,3.25,6028,02-MAR-2020
VASWANI,EQ,3.5,3.55,3.25,3.25,3.55,3.55,20585,28-FEB-2020
VASWANI,EQ,3.4,3.55,3.3,3.55,3.4,3.5,10162,27-FEB-2020
VASWANI,EQ,3.35,3.6,3.35,3.5,3.4,3.45,1459,26-FEB-2020
VASWANI,EQ,3.45,3.6,3.35,3.45,3.4,3.45,6900,25-FEB-2020
VASWANI,EQ,3.55,3.6,3.3,3.45,3.45,3.45,27707,24-FEB-2020
VASWANI,EQ,3.45,3.65,3.4,3.45,3.5,3.5,5943,20-FEB-2020
VASWANI,EQ,3.5,3.85,3.4,3.5,3.5,3.7,42417,19-FEB-2020
VASWANI,EQ,3.3,3.75,3.2,3.7,3.55,3.45,13485,18-FEB-2020
VASWANI,EQ,3.65,3.7,3.35,3.45,3.55,3.4,36700,17-FEB-2020
VASWANI,EQ,3.6,3.65,3.4,3.4,3.4,3.7,11208,14-FEB-2020
VASWANI,EQ,3.45,3.9,3.45,3.7,3.7,3.7,4243,13-FEB-2020
VASWANI,EQ,3.9,4.0,3.55,3.7,3.7,3.8,61591,12-FEB-2020
VASWANI,EQ,4.0,4.0,3.7,3.8,3.9,3.85,5032,11-FEB-2020
VASWANI,EQ,4.0,4.0,3.6,3.85,3.85,3.95,47675,10-FEB-2020
