SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
VESUVIUS,EQ,908.05,989.9,864.8,961.1,960.0,919.95,3186,20-MAR-2020
VESUVIUS,EQ,910.0,928.75,870.0,919.95,920.0,925.65,3017,19-MAR-2020
VESUVIUS,EQ,921.0,945.0,919.95,925.65,922.0,921.85,2182,18-MAR-2020
VESUVIUS,EQ,911.35,930.0,911.3,921.85,921.0,946.35,1516,17-MAR-2020
VESUVIUS,EQ,1011.0,1041.95,922.0,946.35,945.0,997.3,4319,16-MAR-2020
VESUVIUS,EQ,987.15,1175.0,812.0,997.3,992.0,990.5,15080,13-MAR-2020
VESUVIUS,EQ,1017.15,1034.95,960.0,990.5,1002.0,1048.3,36152,12-MAR-2020
VESUVIUS,EQ,1042.5,1063.9,1031.0,1048.3,1059.0,1059.65,1100,11-MAR-2020
VESUVIUS,EQ,1077.05,1077.05,1030.0,1059.65,1055.0,1098.2,6827,09-MAR-2020
VESUVIUS,EQ,1005.5,1110.0,1005.5,1098.2,1100.0,1092.0,3968,06-MAR-2020
VESUVIUS,EQ,1103.0,1106.0,1085.0,1092.0,1090.0,1108.5,1086,05-MAR-2020
VESUVIUS,EQ,1102.95,1118.8,1090.0,1108.5,1118.0,1110.35,835,04-MAR-2020
VESUVIUS,EQ,1115.0,1145.4,1102.5,1110.35,1103.0,1135.3,1139,03-MAR-2020
VESUVIUS,EQ,1148.85,1149.0,1116.05,1135.3,1149.0,1148.55,2449,02-MAR-2020
VESUVIUS,EQ,1115.8,1159.0,1080.4,1148.55,1140.0,1120.15,16637,28-FEB-2020
VESUVIUS,EQ,1149.9,1149.9,1091.1,1120.15,1127.3,1130.05,13349,27-FEB-2020
VESUVIUS,EQ,1184.1,1187.05,1126.0,1130.05,1126.0,1186.75,2382,26-FEB-2020
VESUVIUS,EQ,1209.9,1216.0,1166.0,1186.75,1184.1,1180.4,5724,25-FEB-2020
VESUVIUS,EQ,1150.45,1228.1,1140.0,1180.4,1180.0,1150.75,18183,24-FEB-2020
VESUVIUS,EQ,1120.75,1159.8,1110.35,1150.75,1151.0,1123.6,4029,20-FEB-2020
VESUVIUS,EQ,1121.8,1129.9,1103.1,1123.6,1128.9,1124.5,1011,19-FEB-2020
VESUVIUS,EQ,1105.0,1155.0,1090.0,1124.5,1154.0,1105.0,1180,18-FEB-2020
VESUVIUS,EQ,1129.0,1129.0,1103.5,1105.0,1105.0,1111.1,887,17-FEB-2020
VESUVIUS,EQ,1118.9,1124.5,1105.0,1111.1,1111.0,1108.3,414,14-FEB-2020
VESUVIUS,EQ,1117.5,1146.7,1106.1,1108.3,1107.0,1134.15,1148,13-FEB-2020
VESUVIUS,EQ,1139.95,1150.1,1130.0,1134.15,1130.0,1148.1,5166,12-FEB-2020
VESUVIUS,EQ,1145.05,1152.0,1139.95,1148.1,1149.0,1144.35,646,11-FEB-2020
VESUVIUS,EQ,1135.0,1148.95,1113.3,1144.35,1144.0,1122.1,1216,10-FEB-2020
