SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
VIDEOIND,BZ,1.45,1.45,1.4,1.4,1.45,1.45,163847,20-MAR-2020
VIDEOIND,BZ,1.45,1.5,1.45,1.45,1.45,1.5,68363,19-MAR-2020
VIDEOIND,BZ,1.5,1.55,1.45,1.5,1.45,1.5,99605,18-MAR-2020
VIDEOIND,BZ,1.5,1.5,1.4,1.5,1.5,1.45,186296,17-MAR-2020
VIDEOIND,BZ,1.4,1.45,1.35,1.45,1.45,1.4,281147,16-MAR-2020
VIDEOIND,BZ,1.4,1.4,1.4,1.4,1.4,1.45,145364,13-MAR-2020
VIDEOIND,BZ,1.45,1.45,1.45,1.45,1.45,1.5,43962,12-MAR-2020
VIDEOIND,BZ,1.5,1.5,1.5,1.5,1.5,1.55,62228,11-MAR-2020
VIDEOIND,BZ,1.55,1.55,1.55,1.55,1.55,1.6,43996,09-MAR-2020
VIDEOIND,BZ,1.6,1.6,1.6,1.6,1.6,1.65,27235,06-MAR-2020
VIDEOIND,BZ,1.65,1.65,1.65,1.65,1.65,1.7,28704,05-MAR-2020
VIDEOIND,BZ,1.7,1.7,1.7,1.7,1.7,1.75,13240,04-MAR-2020
VIDEOIND,BZ,1.75,1.75,1.75,1.75,1.75,1.8,12430,03-MAR-2020
VIDEOIND,BZ,1.8,1.8,1.8,1.8,1.8,1.85,32899,02-MAR-2020
VIDEOIND,BZ,1.95,1.95,1.85,1.85,1.85,1.9,113466,28-FEB-2020
VIDEOIND,BZ,2.1,2.1,1.9,1.9,1.9,2.0,149213,27-FEB-2020
VIDEOIND,BZ,2.0,2.1,1.95,2.0,2.1,2.05,60199,26-FEB-2020
VIDEOIND,BZ,2.2,2.25,2.05,2.05,2.05,2.15,318633,25-FEB-2020
VIDEOIND,BZ,2.15,2.35,2.15,2.15,2.15,2.25,228592,24-FEB-2020
VIDEOIND,BZ,2.3,2.35,2.15,2.25,2.2,2.25,150537,20-FEB-2020
VIDEOIND,BZ,2.3,2.35,2.2,2.25,2.25,2.3,65612,19-FEB-2020
VIDEOIND,BZ,2.45,2.45,2.25,2.3,2.35,2.35,99714,18-FEB-2020
VIDEOIND,BZ,2.35,2.35,2.15,2.35,2.35,2.25,182096,17-FEB-2020
VIDEOIND,BZ,2.25,2.25,2.15,2.25,2.25,2.15,223433,14-FEB-2020
VIDEOIND,BZ,2.1,2.15,2.0,2.15,2.15,2.05,386117,13-FEB-2020
VIDEOIND,BZ,2.05,2.2,2.0,2.05,2.05,2.1,153808,12-FEB-2020
VIDEOIND,BZ,2.05,2.25,2.05,2.1,2.25,2.15,162363,11-FEB-2020
VIDEOIND,BZ,2.15,2.3,2.15,2.15,2.3,2.25,150464,10-FEB-2020
