SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
VISESHINFO,BE,0.05,0.05,0.05,0.05,0.05,0.05,3207440,11-MAR-2020
VISESHINFO,BE,0.05,0.05,0.05,0.05,0.05,0.05,5782523,09-MAR-2020
VISESHINFO,BE,0.05,0.05,0.05,0.05,0.05,0.05,2274752,06-MAR-2020
VISESHINFO,BE,0.05,0.05,0.05,0.05,0.05,0.05,9749160,05-MAR-2020
VISESHINFO,BE,0.05,0.05,0.05,0.05,0.05,0.05,19857790,04-MAR-2020
VISESHINFO,BE,0.05,0.1,0.05,0.05,0.05,0.05,2795218,03-MAR-2020
VISESHINFO,BE,0.05,0.1,0.05,0.05,0.05,0.1,3137203,02-MAR-2020
VISESHINFO,BE,0.05,0.1,0.05,0.1,0.1,0.05,4076877,28-FEB-2020
VISESHINFO,BE,0.05,0.1,0.05,0.05,0.1,0.1,3793263,27-FEB-2020
VISESHINFO,BE,0.1,0.1,0.05,0.1,0.05,0.05,3293139,26-FEB-2020
VISESHINFO,BE,0.05,0.1,0.05,0.05,0.05,0.05,3670717,25-FEB-2020
VISESHINFO,BE,0.05,0.1,0.05,0.05,0.1,0.1,2394509,24-FEB-2020
VISESHINFO,BE,0.05,0.1,0.05,0.1,0.05,0.1,2552977,20-FEB-2020
VISESHINFO,BE,0.05,0.1,0.05,0.1,0.05,0.1,2324703,19-FEB-2020
VISESHINFO,BE,0.05,0.1,0.05,0.1,0.1,0.05,8412544,18-FEB-2020
VISESHINFO,BE,0.05,0.1,0.05,0.05,0.05,0.1,4521033,17-FEB-2020
VISESHINFO,BE,0.05,0.1,0.05,0.1,0.1,0.1,1790360,14-FEB-2020
VISESHINFO,BE,0.1,0.1,0.05,0.1,0.1,0.05,2990595,13-FEB-2020
VISESHINFO,BE,0.1,0.1,0.05,0.05,0.1,0.1,1387062,12-FEB-2020
VISESHINFO,BE,0.05,0.1,0.05,0.1,0.1,0.1,2115618,11-FEB-2020
VISESHINFO,BE,0.05,0.1,0.05,0.1,0.1,0.1,1944372,10-FEB-2020
