SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
VSCL,SM,7.75,7.75,7.75,7.75,7.75,8.15,3000,20-MAR-2020
VSCL,SM,8.15,8.15,8.15,8.15,8.15,8.55,6000,19-MAR-2020
VSCL,SM,8.55,8.55,8.55,8.55,8.55,8.95,3000,18-MAR-2020
VSCL,SM,8.95,8.95,8.95,8.95,8.95,9.4,3000,17-MAR-2020
VSCL,SM,9.4,9.4,9.4,9.4,9.4,9.85,3000,16-MAR-2020
VSCL,SM,9.85,9.85,9.85,9.85,9.85,10.35,3000,13-MAR-2020
VSCL,SM,10.35,10.35,10.35,10.35,10.35,10.85,3000,12-MAR-2020
VSCL,SM,10.85,10.85,10.85,10.85,10.85,11.4,3000,11-MAR-2020
VSCL,SM,11.4,11.4,11.4,11.4,11.4,11.95,3000,09-MAR-2020
VSCL,SM,11.95,11.95,11.95,11.95,11.95,12.55,3000,06-MAR-2020
VSCL,SM,12.55,12.55,12.55,12.55,12.55,13.2,6000,17-FEB-2020
VSCL,SM,13.2,13.2,13.2,13.2,13.2,13.85,9000,14-FEB-2020
VSCL,SM,13.85,13.85,13.85,13.85,13.85,14.55,3000,13-FEB-2020
VSCL,SM,16.0,16.05,14.55,14.55,14.55,15.3,9000,12-FEB-2020
