SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
WALCHANNAG,EQ,26.75,28.5,26.6,27.3,26.6,26.5,144514,20-MAR-2020
WALCHANNAG,EQ,27.5,27.8,26.05,26.5,26.7,28.9,173100,19-MAR-2020
WALCHANNAG,EQ,32.1,33.9,28.9,28.9,28.9,32.1,121302,18-MAR-2020
WALCHANNAG,EQ,32.25,34.25,31.5,32.1,31.55,32.25,89083,17-MAR-2020
WALCHANNAG,EQ,33.9,34.0,31.5,32.25,33.0,32.8,102894,16-MAR-2020
WALCHANNAG,EQ,29.55,33.9,26.8,32.8,33.5,33.45,177076,13-MAR-2020
WALCHANNAG,EQ,38.2,38.2,32.3,33.45,33.7,38.55,150855,12-MAR-2020
WALCHANNAG,EQ,38.75,40.4,37.75,38.55,38.35,38.75,94968,11-MAR-2020
WALCHANNAG,EQ,44.0,44.0,38.0,38.75,38.85,44.55,149033,09-MAR-2020
WALCHANNAG,EQ,45.25,45.85,43.5,44.55,44.5,47.7,108060,06-MAR-2020
WALCHANNAG,EQ,48.8,48.8,47.0,47.7,47.5,47.25,53317,05-MAR-2020
WALCHANNAG,EQ,49.05,49.05,46.2,47.25,47.45,49.0,66150,04-MAR-2020
WALCHANNAG,EQ,47.55,50.2,47.55,49.0,49.45,48.35,98987,03-MAR-2020
WALCHANNAG,EQ,50.85,52.7,46.6,48.35,46.7,49.9,113329,02-MAR-2020
WALCHANNAG,EQ,53.8,53.8,49.6,49.9,49.95,55.05,131589,28-FEB-2020
WALCHANNAG,EQ,56.5,57.1,54.5,55.05,54.85,56.6,80110,27-FEB-2020
WALCHANNAG,EQ,56.9,58.0,56.15,56.6,56.45,57.15,118889,26-FEB-2020
WALCHANNAG,EQ,57.2,58.9,56.35,57.15,57.5,56.1,229397,25-FEB-2020
WALCHANNAG,EQ,57.85,58.35,55.5,56.1,55.65,58.55,83135,24-FEB-2020
WALCHANNAG,EQ,58.15,59.6,57.7,58.55,58.4,57.9,159232,20-FEB-2020
WALCHANNAG,EQ,58.3,58.9,57.0,57.9,57.7,57.3,85572,19-FEB-2020
WALCHANNAG,EQ,57.1,57.7,55.5,57.3,57.3,57.15,69312,18-FEB-2020
WALCHANNAG,EQ,59.1,59.5,56.85,57.15,57.3,58.9,86582,17-FEB-2020
WALCHANNAG,EQ,60.5,61.25,58.55,58.9,58.65,60.3,90817,14-FEB-2020
WALCHANNAG,EQ,60.95,61.7,60.1,60.3,60.3,60.9,64500,13-FEB-2020
WALCHANNAG,EQ,61.8,61.85,60.4,60.9,61.1,61.45,83431,12-FEB-2020
WALCHANNAG,EQ,62.6,63.15,61.2,61.45,61.4,61.55,87329,11-FEB-2020
WALCHANNAG,EQ,62.8,63.15,61.25,61.55,61.7,63.8,164652,10-FEB-2020
