SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
WELCORP,EQ,74.5,78.0,71.25,71.95,72.45,74.95,1512324,20-MAR-2020
WELCORP,EQ,74.95,74.95,74.95,74.95,74.95,78.85,263555,19-MAR-2020
WELCORP,EQ,86.4,87.05,78.85,78.85,78.85,82.95,1146343,18-MAR-2020
WELCORP,EQ,88.8,94.7,81.3,82.95,83.0,88.8,1264493,17-MAR-2020
WELCORP,EQ,90.25,95.15,88.8,88.8,88.8,98.65,1220796,16-MAR-2020
WELCORP,EQ,96.65,105.0,96.65,98.65,98.7,107.35,4120020,13-MAR-2020
WELCORP,EQ,109.0,110.8,107.35,107.35,107.35,119.25,334708,12-MAR-2020
WELCORP,EQ,120.3,125.9,101.0,119.25,119.8,124.45,6853591,11-MAR-2020
WELCORP,EQ,146.5,146.5,124.4,124.45,124.4,155.45,4325207,09-MAR-2020
WELCORP,EQ,156.9,161.5,154.1,155.45,154.8,168.3,1073806,06-MAR-2020
WELCORP,EQ,169.7,177.6,163.25,168.3,168.0,167.45,1019912,05-MAR-2020
WELCORP,EQ,173.9,174.7,157.5,167.45,166.8,172.9,1542210,04-MAR-2020
WELCORP,EQ,172.0,179.4,168.0,172.9,174.2,169.4,1207120,03-MAR-2020
WELCORP,EQ,190.2,197.8,166.1,169.4,169.4,185.9,1766962,02-MAR-2020
WELCORP,EQ,194.0,194.0,182.05,185.9,184.0,201.25,1044772,28-FEB-2020
WELCORP,EQ,195.7,204.8,187.2,201.25,199.4,195.25,889635,27-FEB-2020
WELCORP,EQ,190.25,199.8,186.25,195.25,196.3,192.85,1010889,26-FEB-2020
WELCORP,EQ,204.05,206.45,191.0,192.85,192.55,202.2,978425,25-FEB-2020
WELCORP,EQ,202.0,203.85,199.9,202.2,203.4,203.95,695259,24-FEB-2020
WELCORP,EQ,209.5,210.0,202.5,203.95,204.6,209.5,494914,20-FEB-2020
WELCORP,EQ,209.3,210.95,207.5,209.5,209.65,206.45,608204,19-FEB-2020
WELCORP,EQ,202.85,209.6,200.0,206.45,209.0,203.15,1314912,18-FEB-2020
WELCORP,EQ,208.6,208.8,201.25,203.15,203.0,207.35,841955,17-FEB-2020
WELCORP,EQ,209.35,214.0,205.55,207.35,207.0,208.65,1111762,14-FEB-2020
WELCORP,EQ,213.4,214.9,205.55,208.65,207.75,212.1,1271985,13-FEB-2020
WELCORP,EQ,213.8,217.45,205.0,212.1,212.0,223.2,1794791,12-FEB-2020
WELCORP,EQ,221.5,233.95,220.4,223.2,221.5,221.45,2910943,11-FEB-2020
WELCORP,EQ,222.85,229.0,211.7,221.45,220.9,224.45,3110738,10-FEB-2020
