SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
WELENT,EQ,43.0,45.2,41.6,42.95,43.0,42.8,404389,20-MAR-2020
WELENT,EQ,47.0,47.0,42.75,42.8,42.75,47.5,441832,19-MAR-2020
WELENT,EQ,52.0,54.15,46.15,47.5,49.0,50.9,336652,18-MAR-2020
WELENT,EQ,51.0,54.9,50.0,50.9,51.4,51.65,370914,17-MAR-2020
WELENT,EQ,58.0,59.75,51.0,51.65,52.2,60.1,468061,16-MAR-2020
WELENT,EQ,49.9,67.25,47.4,60.1,59.0,59.2,2213328,13-MAR-2020
WELENT,EQ,69.0,73.9,59.2,59.2,59.2,74.0,874394,12-MAR-2020
WELENT,EQ,61.0,75.15,61.0,74.0,75.15,62.65,1405205,11-MAR-2020
WELENT,EQ,60.45,65.0,50.9,62.65,62.1,61.6,1300863,09-MAR-2020
WELENT,EQ,62.2,64.0,59.45,61.6,61.8,65.5,400273,06-MAR-2020
WELENT,EQ,61.15,66.5,60.55,65.5,66.0,60.85,397391,05-MAR-2020
WELENT,EQ,61.85,64.25,60.1,60.85,60.5,61.85,275651,04-MAR-2020
WELENT,EQ,61.2,63.5,59.5,61.85,62.5,61.3,217406,03-MAR-2020
WELENT,EQ,66.9,68.65,58.6,61.3,60.6,65.9,272935,02-MAR-2020
WELENT,EQ,69.45,69.45,62.5,65.9,67.0,70.3,216852,28-FEB-2020
WELENT,EQ,70.5,71.9,68.15,70.3,69.5,71.1,146138,27-FEB-2020
WELENT,EQ,70.35,71.5,69.75,71.1,71.45,70.45,113084,26-FEB-2020
WELENT,EQ,71.0,71.95,70.0,70.45,70.7,71.35,98242,25-FEB-2020
WELENT,EQ,71.9,72.45,71.0,71.35,71.15,72.6,118509,24-FEB-2020
WELENT,EQ,72.6,73.9,72.0,72.6,72.55,73.2,165881,20-FEB-2020
WELENT,EQ,73.5,75.95,71.2,73.2,71.2,73.3,291122,19-FEB-2020
WELENT,EQ,74.65,74.9,71.1,73.3,73.3,74.15,254594,18-FEB-2020
WELENT,EQ,77.1,77.5,73.5,74.15,74.8,78.45,247454,17-FEB-2020
WELENT,EQ,81.4,81.9,77.5,78.45,77.7,81.45,200526,14-FEB-2020
WELENT,EQ,80.5,84.8,79.3,81.45,80.65,78.65,439371,13-FEB-2020
WELENT,EQ,81.4,81.85,78.2,78.65,78.8,80.95,161675,12-FEB-2020
WELENT,EQ,82.05,82.95,80.3,80.95,80.75,81.85,238635,11-FEB-2020
WELENT,EQ,86.0,86.0,81.25,81.85,82.0,85.45,376928,10-FEB-2020
