SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
WIPL,BE,43.0,43.0,43.0,43.0,43.0,43.5,100,19-MAR-2020
WIPL,BE,43.5,43.5,43.5,43.5,43.5,43.5,100,18-MAR-2020
WIPL,BE,43.5,43.5,43.5,43.5,43.5,43.5,101,16-MAR-2020
WIPL,BE,45.0,45.0,43.5,43.5,43.5,45.0,200,13-MAR-2020
WIPL,BE,45.0,45.0,45.0,45.0,45.0,46.5,200,12-MAR-2020
WIPL,BE,46.5,46.5,46.5,46.5,46.5,47.05,106,11-MAR-2020
WIPL,BE,47.05,47.05,47.05,47.05,47.05,49.0,1,09-MAR-2020
WIPL,BE,49.0,49.0,49.0,49.0,49.0,50.0,100,03-MAR-2020
WIPL,BE,49.15,50.0,49.0,50.0,50.0,48.75,3001,28-FEB-2020
WIPL,BE,48.5,48.75,48.5,48.75,48.75,51.05,55,26-FEB-2020
WIPL,BE,51.05,51.05,51.05,51.05,51.05,51.05,2,25-FEB-2020
WIPL,BE,51.05,51.05,51.05,51.05,51.05,51.05,5,24-FEB-2020
WIPL,BE,51.05,51.05,51.05,51.05,51.05,51.05,1,17-FEB-2020
WIPL,BE,52.5,52.5,51.05,51.05,51.05,52.5,17,14-FEB-2020
WIPL,BE,52.5,52.5,52.5,52.5,52.5,55.0,11,11-FEB-2020
WIPL,BE,59.8,59.8,55.0,55.0,55.0,57.0,69,10-FEB-2020
