SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
WIPRO,EQ,163.1,185.8,162.5,179.2,178.0,162.35,10160070,20-MAR-2020
WIPRO,EQ,165.0,171.35,159.4,162.35,161.8,169.95,5990642,19-MAR-2020
WIPRO,EQ,176.7,178.5,168.5,169.95,171.9,173.1,6367196,18-MAR-2020
WIPRO,EQ,178.55,185.55,170.75,173.1,173.2,179.75,6087886,17-MAR-2020
WIPRO,EQ,193.95,193.95,178.55,179.75,180.0,197.4,5600578,16-MAR-2020
WIPRO,EQ,199.0,204.45,169.25,197.4,199.0,199.1,6521699,13-MAR-2020
WIPRO,EQ,204.0,206.95,197.5,199.1,200.0,213.1,5382005,12-MAR-2020
WIPRO,EQ,203.7,214.4,203.7,213.1,212.95,214.4,6135166,11-MAR-2020
WIPRO,EQ,220.2,221.0,213.0,214.4,215.0,223.55,8731114,09-MAR-2020
WIPRO,EQ,225.0,226.0,222.55,223.55,223.25,229.7,2934283,06-MAR-2020
WIPRO,EQ,229.05,233.9,228.65,229.7,230.3,228.85,2970778,05-MAR-2020
WIPRO,EQ,224.9,229.75,222.45,228.85,228.9,223.7,4518178,04-MAR-2020
WIPRO,EQ,224.0,225.8,220.6,223.7,223.25,220.8,5173113,03-MAR-2020
WIPRO,EQ,225.8,227.0,218.4,220.8,220.65,221.45,5766175,02-MAR-2020
WIPRO,EQ,228.5,229.5,219.7,221.45,222.4,231.6,5637309,28-FEB-2020
WIPRO,EQ,238.95,238.95,230.5,231.6,231.45,239.9,4866814,27-FEB-2020
WIPRO,EQ,243.05,243.45,238.4,239.9,239.95,244.1,3994194,26-FEB-2020
WIPRO,EQ,244.15,246.65,242.45,244.1,244.0,244.2,2529786,25-FEB-2020
WIPRO,EQ,245.0,247.8,242.4,244.2,244.05,245.7,3521975,24-FEB-2020
WIPRO,EQ,248.0,248.55,245.1,245.7,245.85,247.6,2120807,20-FEB-2020
WIPRO,EQ,244.5,248.35,244.5,247.6,247.95,244.05,1785384,19-FEB-2020
WIPRO,EQ,243.75,244.85,241.25,244.05,244.0,243.8,1252637,18-FEB-2020
WIPRO,EQ,242.9,245.0,241.95,243.8,243.85,242.9,1017778,17-FEB-2020
WIPRO,EQ,243.8,245.35,242.0,242.9,243.5,243.75,1809793,14-FEB-2020
WIPRO,EQ,245.8,245.8,242.5,243.75,243.7,244.45,2414955,13-FEB-2020
WIPRO,EQ,241.7,247.15,241.7,244.45,244.7,241.25,3419400,12-FEB-2020
WIPRO,EQ,240.55,242.9,239.8,241.25,241.15,240.9,2730310,11-FEB-2020
WIPRO,EQ,245.4,245.65,239.45,240.9,241.25,243.95,2258996,10-FEB-2020
