SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
WOCKPHARMA,EQ,186.0,192.0,172.35,179.15,175.0,181.6,688509,20-MAR-2020
WOCKPHARMA,EQ,190.0,194.7,177.0,181.6,180.1,196.6,738760,19-MAR-2020
WOCKPHARMA,EQ,209.4,212.8,188.6,196.6,198.0,205.35,806202,18-MAR-2020
WOCKPHARMA,EQ,210.0,214.9,203.0,205.35,203.9,209.75,353870,17-MAR-2020
WOCKPHARMA,EQ,215.0,224.0,204.5,209.75,213.7,224.6,797360,16-MAR-2020
WOCKPHARMA,EQ,186.15,226.9,185.7,224.6,226.9,206.3,1698100,13-MAR-2020
WOCKPHARMA,EQ,238.4,238.4,204.9,206.3,204.9,256.1,1154993,12-MAR-2020
WOCKPHARMA,EQ,265.0,274.5,250.25,256.1,252.15,272.4,813905,11-MAR-2020
WOCKPHARMA,EQ,297.0,297.0,261.25,272.4,264.0,302.75,735215,09-MAR-2020
WOCKPHARMA,EQ,305.0,311.0,299.55,302.75,301.85,320.9,674825,06-MAR-2020
WOCKPHARMA,EQ,323.0,329.3,316.5,320.9,320.55,320.55,770218,05-MAR-2020
WOCKPHARMA,EQ,318.0,325.9,309.65,320.55,320.35,315.3,1408001,04-MAR-2020
WOCKPHARMA,EQ,311.9,319.3,303.1,315.3,318.55,306.75,954112,03-MAR-2020
WOCKPHARMA,EQ,314.9,322.8,302.0,306.75,309.4,307.35,830560,02-MAR-2020
WOCKPHARMA,EQ,321.8,328.9,300.0,307.35,302.9,332.45,924171,28-FEB-2020
WOCKPHARMA,EQ,339.8,340.1,324.1,332.45,331.95,337.6,774983,27-FEB-2020
WOCKPHARMA,EQ,348.0,350.5,334.3,337.6,337.25,345.8,851154,26-FEB-2020
WOCKPHARMA,EQ,342.7,354.75,342.0,345.8,347.0,339.25,1327299,25-FEB-2020
WOCKPHARMA,EQ,356.4,356.4,337.2,339.25,339.9,357.65,896904,24-FEB-2020
WOCKPHARMA,EQ,367.9,376.5,353.1,357.65,359.0,367.75,1721408,20-FEB-2020
WOCKPHARMA,EQ,338.65,373.9,338.4,367.75,367.95,335.4,3771819,19-FEB-2020
WOCKPHARMA,EQ,349.7,352.8,324.3,335.4,335.55,348.75,1399261,18-FEB-2020
WOCKPHARMA,EQ,349.5,358.0,346.05,348.75,348.85,344.85,1287236,17-FEB-2020
WOCKPHARMA,EQ,353.0,360.0,341.75,344.85,345.6,349.85,1377349,14-FEB-2020
WOCKPHARMA,EQ,350.0,363.75,345.6,349.85,349.2,367.45,3084772,13-FEB-2020
WOCKPHARMA,EQ,399.0,405.8,361.65,367.45,365.0,393.3,5112550,12-FEB-2020
WOCKPHARMA,EQ,368.75,411.65,366.8,393.3,393.45,363.4,8878750,11-FEB-2020
WOCKPHARMA,EQ,347.0,367.7,345.6,363.4,364.65,345.0,2315371,10-FEB-2020
