SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
WSTCSTPAPR,EQ,140.6,150.7,139.65,141.3,139.65,141.6,63346,20-MAR-2020
WSTCSTPAPR,EQ,148.0,148.0,138.05,141.6,141.85,151.65,107671,19-MAR-2020
WSTCSTPAPR,EQ,165.75,165.75,150.05,151.65,155.6,160.7,81203,18-MAR-2020
WSTCSTPAPR,EQ,164.0,168.4,159.0,160.7,160.75,161.5,45543,17-MAR-2020
WSTCSTPAPR,EQ,161.7,170.3,158.55,161.5,161.2,171.2,46225,16-MAR-2020
WSTCSTPAPR,EQ,163.0,186.95,146.0,171.2,171.5,176.75,79323,13-MAR-2020
WSTCSTPAPR,EQ,176.5,187.0,170.0,176.75,176.1,189.2,132249,12-MAR-2020
WSTCSTPAPR,EQ,195.3,199.0,188.7,189.2,189.45,195.55,94363,11-MAR-2020
WSTCSTPAPR,EQ,195.1,199.7,187.45,195.55,194.5,199.85,165075,09-MAR-2020
WSTCSTPAPR,EQ,196.1,203.2,196.1,199.85,199.75,205.35,57954,06-MAR-2020
WSTCSTPAPR,EQ,211.0,211.7,203.1,205.35,204.5,205.3,49497,05-MAR-2020
WSTCSTPAPR,EQ,211.0,211.85,203.55,205.3,205.0,210.25,44820,04-MAR-2020
WSTCSTPAPR,EQ,210.0,212.0,207.6,210.25,210.5,208.5,31500,03-MAR-2020
WSTCSTPAPR,EQ,211.0,211.6,206.0,208.5,210.1,205.9,49885,02-MAR-2020
WSTCSTPAPR,EQ,206.15,213.0,198.2,205.9,211.4,211.5,175629,28-FEB-2020
WSTCSTPAPR,EQ,212.8,213.0,209.15,211.5,211.2,211.35,32830,27-FEB-2020
WSTCSTPAPR,EQ,211.0,214.1,209.0,211.35,211.75,211.15,57066,26-FEB-2020
WSTCSTPAPR,EQ,211.2,213.7,210.45,211.15,212.4,211.45,131024,25-FEB-2020
WSTCSTPAPR,EQ,218.75,218.75,210.95,211.45,211.0,219.2,129868,24-FEB-2020
WSTCSTPAPR,EQ,230.7,232.5,217.1,219.2,218.7,222.2,293446,20-FEB-2020
WSTCSTPAPR,EQ,211.15,228.9,209.4,222.2,228.0,209.65,191290,19-FEB-2020
WSTCSTPAPR,EQ,214.2,215.9,207.0,209.65,209.5,213.15,53043,18-FEB-2020
WSTCSTPAPR,EQ,215.0,218.0,212.05,213.15,212.9,215.25,40477,17-FEB-2020
WSTCSTPAPR,EQ,219.0,220.6,214.2,215.25,214.4,218.7,39413,14-FEB-2020
WSTCSTPAPR,EQ,211.0,221.4,211.0,218.7,218.9,214.7,162544,13-FEB-2020
WSTCSTPAPR,EQ,223.45,223.45,210.0,214.7,214.85,221.9,138706,12-FEB-2020
WSTCSTPAPR,EQ,223.7,224.55,221.1,221.9,222.95,221.6,26600,11-FEB-2020
WSTCSTPAPR,EQ,227.95,227.95,218.55,221.6,222.0,227.75,51877,10-FEB-2020
