SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
ZEELEARN,EQ,14.6,14.75,13.8,14.6,14.7,14.35,232575,20-MAR-2020
ZEELEARN,EQ,14.0,14.7,13.3,14.35,14.35,14.1,430901,19-MAR-2020
ZEELEARN,EQ,14.85,14.85,13.55,14.1,14.6,14.2,590911,18-MAR-2020
ZEELEARN,EQ,13.4,15.0,13.4,14.2,14.1,13.85,268941,17-MAR-2020
ZEELEARN,EQ,14.0,14.8,13.15,13.85,13.8,14.4,301989,16-MAR-2020
ZEELEARN,EQ,13.65,14.95,11.25,14.4,14.2,14.05,1529067,13-MAR-2020
ZEELEARN,EQ,14.05,14.95,13.5,14.05,14.15,15.3,622276,12-MAR-2020
ZEELEARN,EQ,14.75,16.2,13.05,15.3,15.5,14.75,1881002,11-MAR-2020
ZEELEARN,EQ,14.0,15.2,13.25,14.75,15.2,14.45,360914,09-MAR-2020
ZEELEARN,EQ,14.3,14.75,13.5,14.45,14.3,14.55,283167,06-MAR-2020
ZEELEARN,EQ,14.9,15.2,13.75,14.55,14.7,14.7,250423,05-MAR-2020
ZEELEARN,EQ,15.6,15.6,14.55,14.7,14.7,15.3,145763,04-MAR-2020
ZEELEARN,EQ,15.15,15.85,14.6,15.3,15.45,15.3,139615,03-MAR-2020
ZEELEARN,EQ,16.2,16.2,15.0,15.3,15.0,15.6,193722,02-MAR-2020
ZEELEARN,EQ,15.5,16.0,15.05,15.6,15.45,15.8,205283,28-FEB-2020
ZEELEARN,EQ,16.2,16.5,15.1,15.8,15.8,16.55,244177,27-FEB-2020
ZEELEARN,EQ,16.0,17.1,15.65,16.55,16.5,16.05,291017,26-FEB-2020
ZEELEARN,EQ,16.65,16.95,15.6,16.05,15.95,16.55,177993,25-FEB-2020
ZEELEARN,EQ,17.95,18.2,16.4,16.55,16.65,17.85,216629,24-FEB-2020
ZEELEARN,EQ,18.3,18.3,17.5,17.85,17.95,17.8,149294,20-FEB-2020
ZEELEARN,EQ,17.55,18.4,17.0,17.8,17.9,16.9,107318,19-FEB-2020
ZEELEARN,EQ,17.7,17.7,16.35,16.9,17.0,17.45,88547,18-FEB-2020
ZEELEARN,EQ,18.05,18.3,17.15,17.45,17.6,18.05,70130,17-FEB-2020
ZEELEARN,EQ,18.1,18.4,17.85,18.05,18.1,18.15,68478,14-FEB-2020
ZEELEARN,EQ,18.15,18.6,18.05,18.15,18.1,18.45,71750,13-FEB-2020
ZEELEARN,EQ,18.5,18.75,18.05,18.45,18.35,18.35,137020,12-FEB-2020
ZEELEARN,EQ,18.8,19.2,18.25,18.35,18.45,18.45,121172,11-FEB-2020
ZEELEARN,EQ,19.0,19.25,17.95,18.45,18.8,18.35,115697,10-FEB-2020
