SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
ZENITHEXPO,EQ,32.1,32.2,32.0,32.1,32.1,31.6,754,20-MAR-2020
ZENITHEXPO,EQ,31.35,32.0,31.35,31.6,31.6,32.95,1712,19-MAR-2020
ZENITHEXPO,EQ,33.3,33.3,32.95,32.95,32.95,34.65,77,18-MAR-2020
ZENITHEXPO,EQ,33.95,34.65,32.3,34.65,34.65,33.95,79,17-MAR-2020
ZENITHEXPO,EQ,34.3,36.0,33.95,33.95,33.95,35.7,1076,16-MAR-2020
ZENITHEXPO,EQ,34.45,35.95,34.4,35.7,35.7,36.2,1160,13-MAR-2020
ZENITHEXPO,EQ,37.8,37.8,36.2,36.2,36.2,36.2,144,12-MAR-2020
ZENITHEXPO,EQ,36.25,37.85,36.1,36.2,37.85,37.95,553,11-MAR-2020
ZENITHEXPO,EQ,38.15,38.15,36.1,37.95,37.95,38.0,811,09-MAR-2020
ZENITHEXPO,EQ,39.4,41.9,38.0,38.0,38.0,40.0,210,06-MAR-2020
ZENITHEXPO,EQ,38.65,40.0,38.65,40.0,40.0,40.65,241,05-MAR-2020
ZENITHEXPO,EQ,42.7,42.75,40.65,40.65,40.65,42.75,95,04-MAR-2020
ZENITHEXPO,BE,38.85,42.85,38.85,42.75,42.75,40.85,338,03-MAR-2020
ZENITHEXPO,BE,42.0,42.0,40.85,40.85,40.85,42.95,16,02-MAR-2020
ZENITHEXPO,BE,41.2,43.3,41.15,42.95,42.95,43.3,103,28-FEB-2020
ZENITHEXPO,BE,41.65,43.3,41.25,43.3,43.3,43.4,103,26-FEB-2020
ZENITHEXPO,BE,42.0,43.4,41.25,43.4,43.4,43.4,490,25-FEB-2020
ZENITHEXPO,BE,43.45,43.45,39.9,43.4,43.4,42.0,46,24-FEB-2020
ZENITHEXPO,BE,41.3,42.0,41.3,42.0,42.0,43.45,680,20-FEB-2020
ZENITHEXPO,BE,40.3,43.45,39.6,43.45,43.45,41.65,28,19-FEB-2020
ZENITHEXPO,BE,41.65,41.65,41.65,41.65,41.65,41.65,2,18-FEB-2020
ZENITHEXPO,BE,42.35,42.35,41.6,41.65,42.0,43.5,608,14-FEB-2020
ZENITHEXPO,BE,41.5,43.5,41.5,43.5,43.5,43.55,91,13-FEB-2020
ZENITHEXPO,BE,44.0,44.5,42.75,43.55,44.45,44.95,656,12-FEB-2020
ZENITHEXPO,BE,43.5,44.95,43.5,44.95,44.95,45.0,140,11-FEB-2020
ZENITHEXPO,BE,43.75,45.0,43.5,45.0,45.0,45.0,206,10-FEB-2020
