SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
ZICOM,EQ,1.05,1.15,1.05,1.05,1.05,1.1,14778,20-MAR-2020
ZICOM,EQ,1.05,1.1,1.0,1.1,1.1,1.05,13475,19-MAR-2020
ZICOM,EQ,1.15,1.15,1.05,1.05,1.05,1.1,9517,18-MAR-2020
ZICOM,EQ,1.15,1.15,1.1,1.1,1.1,1.15,3819,17-MAR-2020
ZICOM,EQ,1.2,1.25,1.15,1.15,1.15,1.2,8191,16-MAR-2020
ZICOM,EQ,1.25,1.25,1.2,1.2,1.2,1.25,4851,13-MAR-2020
ZICOM,EQ,1.2,1.25,1.2,1.25,1.25,1.25,36078,12-MAR-2020
ZICOM,EQ,1.25,1.25,1.25,1.25,1.25,1.3,10052,11-MAR-2020
ZICOM,EQ,1.35,1.35,1.3,1.3,1.3,1.35,2250,09-MAR-2020
ZICOM,EQ,1.35,1.4,1.35,1.35,1.35,1.4,2580,06-MAR-2020
ZICOM,EQ,1.4,1.4,1.35,1.4,1.4,1.4,1116,05-MAR-2020
ZICOM,EQ,1.4,1.4,1.3,1.4,1.4,1.35,4855,04-MAR-2020
ZICOM,BE,1.4,1.4,1.35,1.35,1.35,1.4,1172,03-MAR-2020
ZICOM,BE,1.35,1.4,1.35,1.4,1.4,1.4,2823,02-MAR-2020
ZICOM,BE,1.45,1.45,1.4,1.4,1.4,1.4,4440,28-FEB-2020
ZICOM,BE,1.45,1.45,1.4,1.4,1.4,1.45,28052,27-FEB-2020
ZICOM,BE,1.4,1.5,1.4,1.45,1.4,1.45,3808,26-FEB-2020
ZICOM,BE,1.4,1.45,1.4,1.45,1.45,1.4,4401,25-FEB-2020
ZICOM,BE,1.4,1.45,1.4,1.4,1.4,1.4,9945,24-FEB-2020
ZICOM,BE,1.3,1.4,1.3,1.4,1.4,1.35,2300,20-FEB-2020
ZICOM,BE,1.35,1.35,1.3,1.35,1.35,1.35,1655,19-FEB-2020
ZICOM,BE,1.4,1.4,1.35,1.35,1.35,1.4,1050,18-FEB-2020
ZICOM,BE,1.45,1.45,1.4,1.4,1.4,1.45,2790,17-FEB-2020
ZICOM,BE,1.45,1.55,1.45,1.45,1.45,1.5,2070,14-FEB-2020
ZICOM,BE,1.6,1.6,1.5,1.5,1.5,1.55,755,13-FEB-2020
ZICOM,BE,1.55,1.55,1.5,1.55,1.55,1.55,7359,12-FEB-2020
ZICOM,BE,1.65,1.65,1.55,1.55,1.55,1.6,5649,11-FEB-2020
ZICOM,BE,1.6,1.6,1.6,1.6,1.6,1.6,1093,10-FEB-2020
