SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
ZOTA,EQ,145.0,148.95,141.0,144.25,143.5,145.05,32384,20-MAR-2020
ZOTA,EQ,147.0,147.0,142.0,145.05,144.0,144.75,42095,19-MAR-2020
ZOTA,EQ,145.4,153.6,143.0,144.75,147.0,144.75,31132,18-MAR-2020
ZOTA,EQ,145.5,154.9,143.5,144.75,146.0,144.8,27293,17-MAR-2020
ZOTA,EQ,152.0,154.55,144.0,144.8,144.5,157.35,37353,16-MAR-2020
ZOTA,EQ,160.05,160.05,131.3,157.35,157.0,160.95,23006,13-MAR-2020
ZOTA,EQ,162.05,163.0,157.0,160.95,161.5,164.75,35566,12-MAR-2020
ZOTA,EQ,165.4,165.8,161.0,164.75,165.0,165.05,26689,11-MAR-2020
ZOTA,EQ,166.55,168.05,165.0,165.05,165.0,165.35,33598,09-MAR-2020
ZOTA,EQ,170.25,170.35,163.0,165.35,165.5,170.25,33503,06-MAR-2020
ZOTA,EQ,171.95,172.2,169.0,170.25,170.35,171.15,24450,05-MAR-2020
ZOTA,EQ,172.5,172.95,168.0,171.15,171.15,172.5,32637,04-MAR-2020
ZOTA,EQ,179.0,179.0,171.0,172.5,173.9,172.65,25319,03-MAR-2020
ZOTA,EQ,176.5,179.0,170.0,172.65,173.0,176.4,20628,02-MAR-2020
ZOTA,EQ,180.0,180.0,172.0,176.4,177.0,180.35,25148,28-FEB-2020
ZOTA,EQ,185.0,185.0,179.0,180.35,180.5,178.9,20932,27-FEB-2020
ZOTA,EQ,180.0,185.9,178.7,178.9,178.75,182.5,22952,26-FEB-2020
ZOTA,EQ,187.0,187.0,177.35,182.5,183.5,180.9,23794,25-FEB-2020
ZOTA,EQ,180.25,182.0,179.5,180.9,182.0,180.95,24158,24-FEB-2020
ZOTA,EQ,180.0,182.0,178.25,180.95,180.05,179.4,17163,20-FEB-2020
ZOTA,EQ,180.0,182.0,178.3,179.4,179.0,181.75,21921,19-FEB-2020
ZOTA,EQ,183.6,183.6,178.6,181.75,182.95,181.15,23118,18-FEB-2020
ZOTA,EQ,179.1,183.0,179.0,181.15,180.1,181.05,27004,17-FEB-2020
ZOTA,EQ,182.1,183.0,176.45,181.05,179.6,182.0,22084,14-FEB-2020
ZOTA,EQ,181.0,183.5,179.2,182.0,181.15,181.0,21680,13-FEB-2020
ZOTA,EQ,190.75,194.0,179.0,181.0,181.0,189.95,38101,12-FEB-2020
ZOTA,EQ,191.5,192.0,189.0,189.95,189.5,191.35,23323,11-FEB-2020
ZOTA,EQ,196.55,196.6,187.0,191.35,193.0,187.7,24544,10-FEB-2020
