SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
ZYDUSWELL,EQ,1233.0,1253.9,1199.0,1230.55,1250.0,1235.15,9289,20-MAR-2020
ZYDUSWELL,EQ,1280.2,1283.3,1188.9,1235.15,1237.5,1306.5,14515,19-MAR-2020
ZYDUSWELL,EQ,1327.0,1388.85,1266.1,1306.5,1300.0,1316.5,68719,18-MAR-2020
ZYDUSWELL,EQ,1312.3,1330.0,1308.8,1316.5,1316.25,1293.7,42218,17-MAR-2020
ZYDUSWELL,EQ,1295.0,1317.45,1247.8,1293.7,1300.0,1280.25,47442,16-MAR-2020
ZYDUSWELL,EQ,1304.9,1334.3,1100.5,1280.25,1300.0,1326.45,25429,13-MAR-2020
ZYDUSWELL,EQ,1351.0,1378.9,1312.0,1326.45,1327.0,1415.15,41396,12-MAR-2020
ZYDUSWELL,EQ,1434.0,1434.0,1398.1,1415.15,1399.85,1406.2,13487,11-MAR-2020
ZYDUSWELL,EQ,1444.0,1444.9,1399.5,1406.2,1409.0,1439.5,19416,09-MAR-2020
ZYDUSWELL,EQ,1448.0,1460.35,1406.0,1439.5,1435.5,1450.6,5060,06-MAR-2020
ZYDUSWELL,EQ,1442.6,1456.85,1432.1,1450.6,1450.0,1452.45,30416,05-MAR-2020
ZYDUSWELL,EQ,1450.0,1464.0,1428.0,1452.45,1454.0,1449.55,11186,04-MAR-2020
ZYDUSWELL,EQ,1452.0,1465.35,1433.15,1449.55,1454.8,1438.95,33059,03-MAR-2020
ZYDUSWELL,EQ,1472.0,1483.05,1429.0,1438.95,1440.2,1466.7,16460,02-MAR-2020
ZYDUSWELL,EQ,1428.8,1513.0,1382.4,1466.7,1451.0,1435.1,39827,28-FEB-2020
ZYDUSWELL,EQ,1430.0,1454.95,1428.0,1435.1,1435.0,1442.55,64618,27-FEB-2020
ZYDUSWELL,EQ,1444.55,1464.0,1433.15,1442.55,1441.0,1445.55,2851,26-FEB-2020
ZYDUSWELL,EQ,1467.05,1467.1,1439.05,1445.55,1454.0,1459.05,6609,25-FEB-2020
ZYDUSWELL,EQ,1503.0,1515.75,1445.45,1459.05,1456.0,1486.8,3310,24-FEB-2020
ZYDUSWELL,EQ,1478.0,1500.0,1475.0,1486.8,1500.0,1480.1,4782,20-FEB-2020
ZYDUSWELL,EQ,1495.0,1500.0,1474.9,1480.1,1485.0,1481.25,4550,19-FEB-2020
ZYDUSWELL,EQ,1481.95,1488.0,1458.05,1481.25,1472.95,1473.65,21808,18-FEB-2020
ZYDUSWELL,EQ,1496.8,1496.8,1465.9,1473.65,1475.0,1478.9,5069,17-FEB-2020
ZYDUSWELL,EQ,1477.8,1515.0,1465.2,1478.9,1477.0,1477.6,8408,14-FEB-2020
ZYDUSWELL,EQ,1476.0,1489.9,1461.3,1477.6,1478.0,1470.5,9347,13-FEB-2020
ZYDUSWELL,EQ,1488.0,1493.0,1450.0,1470.5,1470.0,1472.0,13196,12-FEB-2020
ZYDUSWELL,EQ,1474.0,1477.05,1452.95,1472.0,1474.0,1456.85,5699,11-FEB-2020
ZYDUSWELL,EQ,1471.1,1481.95,1452.05,1456.85,1478.0,1471.1,7227,10-FEB-2020
